rho,error_N2,error_N3,error_N4,error_N5,error_N6,error_N7,error_N8,error_N9,error_N10,error_N12,error_N15,error_N20
1.0000000000000001e-01,8.9325713953855579e-05,3.8049054167862972e-06,4.5251477315544353e-06,1.4493547040167476e-06,3.3392110357355342e-07,5.4430382250003628e-08,2.6793914309486411e-12,5.3864074381348992e-09,3.2679889558351327e-09,5.0554278818726317e-10,1.2252338033036381e-11,0.0000000000000000e+00
2.0000000000000001e-01,1.5657127484390021e-03,9.6819830704558685e-06,7.3437987846702857e-06,1.4176679817845539e-06,2.3555061391677956e-07,1.7380601291527853e-08,9.1658153150708799e-09,6.5037246421706385e-09,2.8366817922398369e-09,2.8598030887838632e-10,1.4555523453196884e-11,0.0000000000000000e+00
3.0000000000000004e-01,4.2807682450387574e-03,1.2611564057718461e-04,1.0289827409221131e-05,7.3514152146292311e-07,9.3950346641280547e-08,8.5613695022246361e-09,1.0221750529337825e-08,4.5976624174492997e-09,1.6041698802649051e-09,1.0150663642960467e-10,8.9260265845325648e-12,0.0000000000000000e+00
4.0000000000000002e-01,7.6148937154257856e-03,3.8060260603989260e-04,2.1637962025256030e-05,3.3885580361103784e-07,3.3350396139164573e-08,1.5348625648226033e-08,7.1793927469698815e-09,2.4910738471994875e-09,7.1714559291002899e-10,2.3162360918149716e-11,4.0900893782946923e-12,0.0000000000000000e+00
5.0000000000000000e-01,1.1281697303869576e-02,7.6455954939275150e-04,4.7900052752541944e-05,2.2753993447754972e-06,8.8385380125899360e-08,1.5712505074816363e-08,3.8183142203607190e-09,1.1236905572697964e-09,2.6558594212744424e-10,5.7018278987186477e-13,1.5575873923978634e-12,0.0000000000000000e+00
6.0000000000000009e-01,1.5094737165136873e-02,1.2555667675719362e-03,9.2233042903039353e-05,5.7906882002245474e-06,3.0161939798545312e-07,2.2485621448131710e-08,1.1176329306472610e-09,4.5263781611737386e-10,7.9552614495881357e-11,2.7793600754222325e-12,5.1397774925021622e-13,0.0000000000000000e+00
7.0000000000000007e-01,1.8933116859718602e-02,1.8280302990395791e-03,1.5496984446639051e-04,1.1492598340129279e-05,7.3735100419858313e-07,4.6855701651971060e-08,1.6070590413974628e-09,2.4305277235292522e-10,1.3462481129877801e-11,1.8013646130299321e-12,1.4915846335838978e-13,0.0000000000000000e+00
8.0000000000000004e-01,2.2719367761447951e-02,2.4579572567834940e-03,2.3459212439502775e-04,1.9734898909051779e-05,1.4643000471603607e-06,9.9322690738645747e-08,5.7163920264002854e-09,3.5746988702456406e-10,1.4374945678241602e-11,7.4901196356336186e-13,3.7359004778636518e-14,0.0000000000000000e+00
9.0000000000000002e-01,2.6404996724900931e-02,3.1247865603946101e-03,3.2858788724665633e-04,3.0606337162730757e-05,2.5371397087692316e-06,1.8957682607068094e-07,1.2744405586406771e-08,7.9246531559107325e-10,4.5007997329093996e-11,2.8937963136854705e-13,1.3711254354120683e-14,0.0000000000000000e+00
1.0000000000000000e+00,2.9960917200203330e-02,3.8117960372802684e-03,4.3406536109019678e-04,4.3982078061832741e-05,3.9863522338645652e-06,3.2559728846415226e-07,2.4145985877410681e-08,1.6371835553918856e-09,1.0213563328420605e-10,3.0914160120687484e-13,3.9412917374193057e-15,0.0000000000000000e+00
