rho,error_N2,error_N3,error_N4,error_N5,error_N6,error_N7,error_N8,error_N9,error_N10,error_N12,error_N15,error_N20
1.0000000000000001e-01,8.0386728997570850e-03,2.6393789343161916e-03,5.2657570549975719e-04,1.1352255913169018e-04,2.1582466295164138e-04,1.6671530699099990e-04,9.7207892218301173e-05,4.5525877825636218e-05,1.4118654296665922e-05,7.5634206457841913e-06,5.1273686218211711e-06,0.0000000000000000e+00
2.0000000000000001e-01,1.5767580116611724e-02,3.4894097740426899e-03,5.7750077939219824e-04,1.8358715477734266e-04,2.6235493996684678e-04,1.8373234913998671e-04,9.9482450397370137e-05,4.3283379689701418e-05,1.2059975306205617e-05,7.0605601773798821e-06,4.0356673471353410e-06,0.0000000000000000e+00
3.0000000000000004e-01,2.3424751577609232e-02,3.0195364135700842e-03,4.3801852786479190e-04,2.0705529603831652e-04,2.3210182282884517e-04,1.4737645838280855e-04,7.3945976924810752e-05,2.9766000980369078e-05,7.3106948791368254e-06,4.8117010447157327e-06,2.3143062547748006e-06,0.0000000000000000e+00
4.0000000000000002e-01,3.1142431986955932e-02,1.5948912008351690e-03,2.9061510756384079e-04,1.9555446901664553e-04,1.7620706481402681e-04,1.0148992591618722e-04,4.7084790956608558e-05,1.7450530573059897e-05,3.6719769588855478e-06,2.8238186485229910e-06,1.1412184978132345e-06,0.0000000000000000e+00
5.0000000000000000e-01,3.8976583549308053e-02,5.0532697958749484e-04,2.3945542060777036e-04,1.6659862608647824e-04,1.1991030980895712e-04,6.2791380673665742e-05,2.6868613495656390e-05,9.1135054366975332e-06,1.5688255348145219e-06,1.4936065699799883e-06,5.0664637979425109e-07,0.0000000000000000e+00
6.0000000000000009e-01,4.6931967940892494e-02,3.0698044130008650e-03,3.3393803450848525e-04,1.3766203783827091e-04,7.3302687873144645e-05,3.5292192836156033e-05,1.3876706266513494e-05,4.2747010480237435e-06,5.5273970850366894e-07,7.1965688691610907e-07,2.0472530470883044e-07,0.0000000000000000e+00
7.0000000000000007e-01,5.4981747841923001e-02,5.9394981896885857e-03,5.8782666955498053e-04,1.2300290517391899e-04,3.8310960793597193e-05,1.7889839763585158e-05,6.3991024660814411e-06,1.7732125888181294e-06,1.4095531758462343e-07,3.1218400536880964e-07,7.4428870511233924e-08,0.0000000000000000e+00
8.0000000000000004e-01,6.3081910281418352e-02,8.9950326346001641e-03,9.9341717062012558e-04,1.3247821981238195e-04,1.2988254200319016e-05,8.0289515787534960e-06,2.4969995695012237e-06,6.1784924010321873e-07,1.1392732479631462e-08,1.1637000268960307e-07,2.3237266388864697e-08,0.0000000000000000e+00
9.0000000000000002e-01,7.1181332823306187e-02,1.2146942302984409e-02,1.5313848086709880e-03,1.7157957069313667e-04,6.0009976643460305e-06,3.2514718988352342e-06,6.5954263894774101e-07,1.5374088813135955e-07,9.4443479703443245e-09,3.1564894253932607e-08,5.2754934865006931e-09,0.0000000000000000e+00
1.0000000000000000e+00,7.9228427161387116e-02,1.5328306326219732e-02,2.1772762528085021e-03,2.4209450601375693e-04,2.2050860932987248e-05,1.6996265129742838e-06,1.1351900552902805e-07,6.6886881588956726e-09,3.5255043329129876e-10,7.2408745666052710e-13,6.3282712403633923e-15,0.0000000000000000e+00
