rho,error_N2,error_N3,error_N4,error_N5,error_N6,error_N7,error_N8,error_N9,error_N10,error_N12,error_N15,error_N20
1.0000000000000001e-01,6.9909888235496209e-04,9.7995258195593404e-06,2.6730476960085126e-06,2.6453809597037914e-07,1.3083531300028817e-08,4.0153204788895280e-09,2.5267675313189741e-09,1.1640713809546455e-09,4.7793846658095163e-10,3.8828426585091336e-11,5.6550736315941208e-12,0.0000000000000000e+00
2.0000000000000001e-01,4.0459026477586701e-03,1.3076979256104737e-04,5.7418812046683421e-06,1.8803107057485668e-07,3.6669449976489688e-08,9.9647115281431553e-09,1.9797070927030092e-09,3.7274505704232297e-10,6.6622041217101469e-11,7.6385842096016177e-12,1.9113599591946695e-12,0.0000000000000000e+00
3.0000000000000004e-01,9.1255776023768387e-03,5.8804347446861360e-04,3.3425376086360092e-05,1.8630776531525228e-06,2.9113421340376533e-08,8.1085719527695943e-09,4.1274406115121565e-10,4.6183648572117875e-10,1.8001256041344504e-10,5.5820070787859777e-12,8.4304785374911262e-13,0.0000000000000000e+00
4.0000000000000002e-01,1.5323513156682678e-02,1.4043089009531662e-03,1.1380844161590353e-04,8.4205153177974168e-06,5.0071406926255335e-07,2.9738391915667961e-08,3.2110943903873590e-09,6.1496330250321307e-10,1.8032186854810561e-10,8.1584738964579628e-12,1.1114997811034755e-12,0.0000000000000000e+00
5.0000000000000000e-01,2.2219521812151588e-02,2.5617952612197459e-03,2.6676965109045936e-04,2.5123158525930389e-05,2.0866902489813377e-06,1.5486629567629251e-07,1.2607053789803757e-08,1.5460283053769786e-10,1.2911810509663724e-10,1.3011702826304372e-11,5.7093219041348675e-13,0.0000000000000000e+00
6.0000000000000009e-01,2.9522660540657664e-02,4.0164920057054188e-03,5.0215642536100003e-04,5.7047400908394330e-05,5.8412203322033562e-06,5.3883392442388711e-07,4.7187198093379124e-08,3.2836761643117995e-09,2.7605628893923040e-10,9.4632635061486781e-12,1.4716006191406450e-13,0.0000000000000000e+00
7.0000000000000007e-01,3.7029811886785280e-02,5.7157773982446369e-03,8.2146983574371557e-04,1.0803734522707442e-04,1.2930136191524610e-05,1.4071890958033961e-06,1.4138012022213431e-07,1.2802660598332238e-08,1.0856864296471258e-09,3.5399461140173116e-13,1.4876988529977098e-14,0.0000000000000000e+00
8.0000000000000004e-01,4.4598642136180977e-02,7.6073083958801968e-03,1.2203335134445825e-03,1.8034259627819349e-04,2.4407937271320179e-05,3.0232179731859432e-06,3.4452944969176613e-07,3.6098396660744214e-08,3.4964421913308286e-09,2.4167223777737945e-11,2.4813484600372249e-14,0.0000000000000000e+00
9.0000000000000002e-01,5.2129524786755421e-02,9.6431923600623359e-03,1.6907433066983835e-03,2.7468177887685075e-04,4.1073292526172533e-05,5.6471754152909170e-06,7.1560152026250989e-07,8.3788773974635689e-08,9.0946949415915412e-09,8.6246676467283123e-11,2.9753977059954195e-14,0.0000000000000000e+00
1.0000000000000000e+00,5.9553206503885181e-02,1.1781633457771168e-02,2.2228124989821518e-03,3.9051151524349681e-04,6.3407586171182473e-05,9.5016275493131630e-06,1.3156939797642764e-06,1.6878197328651368e-07,2.0122459476468180e-08,2.3267776594337874e-10,1.7241763572428681e-13,0.0000000000000000e+00
