rho,error_N2,error_N3,error_N4,error_N5,error_N6,error_N7,error_N8,error_N9,error_N10,error_N12,error_N15,error_N20
1.0000000000000001e-01,7.6259672699478392e-03,1.6349059753805045e-03,1.6515497201182866e-03,4.9327439065259548e-04,1.4678165832429646e-04,3.1088176868725170e-04,2.1808850606212793e-04,1.0210753172866516e-04,6.3282891721028189e-06,6.0582502144537753e-05,7.4110820899586649e-07,0.0000000000000000e+00
2.0000000000000001e-01,1.5617890691402486e-02,3.4679312975309795e-03,2.4612085982090859e-03,6.4224792713268863e-04,2.3422630252331600e-04,4.0860546115364937e-04,2.7068893530313165e-04,1.1492690969433506e-04,9.7300425117019529e-06,6.5278221264869485e-05,9.1883014835536514e-07,0.0000000000000000e+00
3.0000000000000004e-01,2.3870648352712520e-02,5.6282550794943820e-03,2.5587994651034562e-03,5.9137043108381526e-04,2.6714697703256185e-04,3.9008264563489270e-04,2.4247359647699973e-04,9.3420421585166391e-05,1.0849021262970826e-05,5.1240874924418645e-05,6.9558469945052437e-07,0.0000000000000000e+00
4.0000000000000002e-01,3.2324713300954877e-02,8.1971518232679119e-03,2.0578956486759226e-03,4.6780309391092345e-04,2.5846055016665037e-04,3.1900285268399164e-04,1.8515565020871261e-04,6.4575274304756736e-05,1.0157810880262463e-05,3.4570261763344767e-05,3.9039219279501935e-07,0.0000000000000000e+00
5.0000000000000000e-01,4.0954812001615326e-02,1.1216002795627900e-02,1.0540650923193118e-03,3.7161701998084107e-04,2.2616245734358165e-04,2.3355556893206453e-04,1.2626506230273282e-04,3.9631228234582316e-05,8.3272859286998013e-06,2.0981206528714047e-05,1.6188081036760948e-07,0.0000000000000000e+00
6.0000000000000009e-01,4.9758666758559666e-02,1.4695321468555234e-02,3.7398491282891744e-04,3.7470455043442374e-04,1.9038439715091116e-04,1.5360417273646565e-04,7.7843332785709762e-05,2.1747849573205968e-05,6.0506601918808300e-06,1.1577575773191739e-05,3.7629170557273994e-08,0.0000000000000000e+00
7.0000000000000007e-01,5.8747220537450295e-02,1.8623154390277064e-02,2.1618365582093402e-03,5.2385474725502590e-04,1.7093505690335409e-04,8.6660082123213300e-05,4.3200043193469817e-05,1.0466213256066226e-05,3.8612067452259424e-06,5.7403345912199200e-06,1.0181544496390416e-08,0.0000000000000000e+00
8.0000000000000004e-01,6.7936943119308868e-02,2.2972170884968723e-02,4.2563750254205335e-03,8.4534275181302743e-04,1.8550051416721391e-04,3.2525436232777594e-05,2.1475567961837250e-05,4.0878650394704508e-06,2.0645109261030470e-06,2.4405234398949815e-06,1.7324040202382207e-08,0.0000000000000000e+00
9.0000000000000002e-01,7.7344285205985908e-02,2.7705279837191510e-02,6.6129865247231967e-03,1.3496453935708530e-03,2.4851739717834942e-04,1.3290038347379962e-05,1.0382645825424142e-05,7.9875538416818159e-07,7.6050010977546378e-07,7.5313291414413897e-07,9.4399263961264523e-09,0.0000000000000000e+00
1.0000000000000000e+00,8.6982051004365402e-02,3.2779873534587223e-02,9.1932299078354429e-03,2.0356501097938962e-03,3.7063332268594262e-04,5.7179944190965948e-05,7.6471802579192172e-06,9.0229566063193545e-07,9.5233896657553885e-08,7.9233486438567979e-10,3.1963320878958257e-13,0.0000000000000000e+00
