rho,error_N2,error_N3,error_N4,error_N5,error_N6,error_N7,error_N8,error_N9,error_N10,error_N12,error_N15,error_N20
1.0000000000000001e-01,6.7473503666856671e-04,1.1721891963176190e-05,2.7849379232169902e-06,3.1526328073128163e-07,3.1534365577123857e-08,4.0384864896658712e-10,3.1395393784716674e-09,2.0983113024897193e-09,9.7278307631398775e-10,6.4954694400931601e-11,1.4651016511102455e-11,0.0000000000000000e+00
2.0000000000000001e-01,4.0229422702872386e-03,1.2607399253580787e-04,5.3538883585113606e-06,1.2842101743126833e-07,2.2615324668517900e-08,8.0971839233612286e-09,2.9059358808147806e-09,1.1336089844604658e-09,3.7763112081812267e-10,1.2057244092034125e-11,6.6771310702762321e-12,0.0000000000000000e+00
3.0000000000000004e-01,9.1204600756244758e-03,5.8315074783985010e-04,3.2239313506460254e-05,1.6993435360546094e-06,2.8285903924674116e-08,6.7397722403050864e-09,8.5181584008608979e-11,1.4880577325904198e-10,7.1644273846871442e-11,9.7069297044782843e-12,3.2429614549300823e-13,0.0000000000000000e+00
4.0000000000000002e-01,1.5346955837338860e-02,1.4029984235192083e-03,1.1206757132992129e-04,8.0376242795332509e-06,4.5992976449582557e-07,2.4841224799398987e-08,2.9526543987579146e-09,6.0392535417008730e-10,1.5601009373256147e-10,1.3048173652663309e-11,1.0248468740314820e-12,0.0000000000000000e+00
5.0000000000000000e-01,2.2278570442538836e-02,2.5679430297386729e-03,2.6515364276369358e-04,2.4468285095224918e-05,1.9683422993743704e-06,1.3803601661699361e-07,1.1267856758756523e-08,4.7228665422949234e-11,1.0894668500682769e-10,2.1814328121649851e-11,5.0959236830294685e-13,0.0000000000000000e+00
6.0000000000000009e-01,2.9621906103912188e-02,4.0335456742733866e-03,5.0159473703131896e-04,5.6157630148379045e-05,5.6066070874272178e-06,4.9670750584818180e-07,4.1975848019681905e-08,2.6197593538945796e-09,2.0308121850831640e-10,1.7274848218562511e-11,1.6653345369377348e-15,0.0000000000000000e+00
7.0000000000000007e-01,3.7172144736965340e-02,5.7465375105381078e-03,8.2296829898004242e-04,1.0702974075488259e-04,1.2548941606238539e-05,1.3225343556411140e-06,1.2774776553259315e-07,1.0910698122756912e-08,8.5336127053636801e-10,6.0650373612247677e-12,1.5520917884259688e-13,0.0000000000000000e+00
8.0000000000000004e-01,4.4785740247105410e-02,7.6538718128881800e-03,1.2248432664244691e-03,1.7938595724126261e-04,2.3862183402667547e-05,2.8766786393519261e-06,3.1612742490416679e-07,3.1579829695704831e-08,2.8748695646285682e-09,1.4609424781042435e-11,1.1596279492209760e-13,0.0000000000000000e+00
9.0000000000000002e-01,5.2362183659335926e-02,9.7069798583614975e-03,1.6990747150318897e-03,2.7396386829209307e-04,4.0356253081408333e-05,5.4187577066544534e-06,6.6446883967286041e-07,7.4558014373504733e-08,7.6737424747896910e-09,6.2991389881972282e-11,2.2593038551121936e-14,0.0000000000000000e+00
1.0000000000000000e+00,5.9831571070995349e-02,1.1863458309635977e-02,2.2355871555564955e-03,3.9020961411628807e-04,6.2519536337957149e-05,9.1715174803663757e-06,1.2325644573873973e-06,1.5207301207187385e-07,1.7276695296608580e-08,1.7647483474547698e-10,1.0058620603103918e-13,0.0000000000000000e+00
