rho,error_N2,error_N3,error_N4,error_N5,error_N6,error_N7,error_N8,error_N9,error_N10,error_N12,error_N15,error_N20,error_N30,error_N40,convergence_rate
1.0000000000000001e-01,8.0385115348174663e-03,2.6395402992558104e-03,5.2641434056013847e-04,1.1336119419207147e-04,2.1598602789126009e-04,1.6655394205138119e-04,9.7369257157919886e-05,4.5364512886017505e-05,1.4280019236284636e-05,7.4020557061654779e-06,5.2887335614398845e-06,1.6136493961871334e-07,1.6765149837838500e-08,0.0000000000000000e+00,-4.6371480143034507e+00
2.0000000000000001e-01,1.5767454519799468e-02,3.4895353708549459e-03,5.7737518257994225e-04,1.8346155796508667e-04,2.6248053677910277e-04,1.8360675232773072e-04,9.9608047209626127e-05,4.3157782877445428e-05,1.2185572118461607e-05,6.9349633651238918e-06,4.1612641593913313e-06,1.2559681225599029e-07,7.5353327466665121e-09,0.0000000000000000e+00,-5.0821981498337383e+00
3.0000000000000004e-01,2.3424680406597648e-02,3.0196075845816683e-03,4.3794735685320774e-04,2.0698412502673236e-04,2.3217299384042933e-04,1.4730528737122439e-04,7.4017147936394911e-05,2.9694829968784919e-05,7.3818658907209844e-06,4.7405300331315736e-06,2.3854772663589596e-06,7.1171011584159061e-08,2.4083623983983671e-09,0.0000000000000000e+00,-5.5179782188553403e+00
4.0000000000000002e-01,3.1142397423413015e-02,1.5949257643780856e-03,2.9058054402092415e-04,1.9551990547372888e-04,1.7624162835694346e-04,1.0145536237327057e-04,4.7119354499525201e-05,1.7415967030143253e-05,3.7065405018021913e-06,2.7892551056063475e-06,1.1757820407298780e-06,3.4563542916643542e-08,6.3687188855965360e-10,0.0000000000000000e+00,-5.9234326691859991e+00
5.0000000000000000e-01,3.8976568501391362e-02,5.0531193167080435e-04,2.3944037269107987e-04,1.6658357816978775e-04,1.1992535772564761e-04,6.2776332756975251e-05,2.6883661412346882e-05,9.0984575200070417e-06,1.5838734515050135e-06,1.4785586532894968e-06,5.2169429648474264e-07,1.5047916690491547e-08,1.4202361509063621e-10,0.0000000000000000e+00,-6.3281111626503845e+00
6.0000000000000009e-01,4.6931962003239680e-02,3.0697984753480512e-03,3.3393209685567138e-04,1.3765610018545704e-04,7.3308625525958515e-05,3.5286255183342163e-05,1.3882643919327364e-05,4.2687633952098736e-06,5.5867736131753887e-07,7.1371923410223914e-07,2.1066295752270037e-07,5.9376528138699314e-09,2.5367097311601583e-11,0.0000000000000000e+00,-7.2593586754825763e+00
7.0000000000000007e-01,5.4981745741993326e-02,5.9394960897589111e-03,5.8782456962530594e-04,1.2300080524424439e-04,3.8313060723271786e-05,1.7887739833910565e-05,6.4012023957560338e-06,1.7711126591435367e-06,1.4305524725921615e-07,3.1008407569421692e-07,7.6528800185826640e-08,2.0999296745927154e-09,2.8839153287663066e-12,0.0000000000000000e+00,-8.1812174421008610e+00
8.0000000000000004e-01,6.3081909645618883e-02,8.9950319988006955e-03,9.9341653482065695e-04,1.3247758401291332e-04,1.2988889999787645e-05,8.0283157792848669e-06,2.4976353689698527e-06,6.1721344063458972e-07,1.2028531948260479e-08,1.1573420322097405e-07,2.3873065857493714e-08,6.3579946862901693e-10,1.1973755320582313e-13,0.0000000000000000e+00,-9.3416962613728085e+00
9.0000000000000002e-01,7.1181332683648346e-02,1.2146942163326568e-02,1.5313846690131472e-03,1.7157943103529583e-04,6.0008580065051831e-06,3.2513322409943868e-06,6.5968229678858847e-07,1.5360123029051209e-07,9.3046901294968620e-09,3.1425236413085145e-08,5.4151513273481555e-09,1.3965784084746247e-10,1.3478107518949400e-13,0.0000000000000000e+00,-9.8726566222220598e+00
1.0000000000000000e+00,7.9228427161399995e-02,1.5328306326232610e-02,2.1772762528213807e-03,2.4209450602663551e-04,2.2050860945865836e-05,1.6996265258528709e-06,1.1351901840761514e-07,6.6887010374827582e-09,3.5256331187838441e-10,7.3696604374617891e-13,6.5503158452884236e-15,1.2878587085651816e-14,2.3314683517128287e-15,0.0000000000000000e+00,-1.4194784606257020e+01
