rho,N,E0,error_vs_ref,relative_error
5.9999999999999998e-01,12,4.2657341746031102e-01,8.4011131384897908e-12,1.9694413188409465e-11
5.9999999999999998e-01,15,4.2657341745194799e-01,3.8080649744642869e-14,8.9271033277491849e-14
5.9999999999999998e-01,20,4.2657341745190991e-01,0.0000000000000000e+00,0.0000000000000000e+00
5.9999999999999998e-01,30,4.2657341745190169e-01,8.2156503822261584e-15,1.9259639832461797e-14
5.9999999999999998e-01,40,4.2657341745190991e-01,0.0000000000000000e+00,0.0000000000000000e+00
6.9999999999999996e-01,2,5.2455174703718643e-01,4.3012840474287717e-02,8.9323707571839508e-02
6.9999999999999996e-01,3,4.8894732942371377e-01,7.4084228608150560e-03,1.5384889486281554e-02
6.9999999999999996e-01,4,4.8276150910301718e-01,1.2226025401184670e-03,2.5389486154817490e-03
6.9999999999999996e-01,5,4.8172740279308113e-01,1.8849623018241113e-04,3.9144548366371658e-04
6.9999999999999996e-01,6,4.8156580449680214e-01,2.6897933903424764e-05,5.5858277569750949e-05
6.9999999999999996e-01,7,4.8154245018885983e-01,3.5436259611110188e-06,7.3589608499228288e-06
6.9999999999999996e-01,8,4.8153933779861269e-01,4.3123571397130078e-07,8.9553659755003135e-07
6.9999999999999996e-01,9,4.8153895514686806e-01,4.8583969347593126e-08,1.0089313383704142e-07
6.9999999999999996e-01,10,4.8153891164142182e-01,5.0785231020533672e-09,1.0546443979579061e-08
6.9999999999999996e-01,12,4.8153890660796278e-01,4.5064063591837566e-11,9.3583432153994165e-11
6.9999999999999996e-01,15,4.8153890656290071e-01,1.9984014443252818e-15,4.1500311129361465e-15
6.9999999999999996e-01,20,4.8153890656290721e-01,8.4932061383824475e-15,1.7637632229978625e-14
6.9999999999999996e-01,30,4.8153890656288889e-01,9.8254737679326354e-15,2.0404319638602721e-14
6.9999999999999996e-01,40,4.8153890656289872e-01,0.0000000000000000e+00,0.0000000000000000e+00
8.0000000000000004e-01,2,5.8485815102288596e-01,5.1910146920917444e-02,9.7401897598598602e-02
8.0000000000000004e-01,3,5.4280045564268453e-01,9.8524515407160118e-03,1.8486703139676174e-02
8.0000000000000004e-01,4,5.3475371107492331e-01,1.8057069729547903e-03,3.3881484855121172e-03
8.0000000000000004e-01,5,5.3325939528870425e-01,3.1139118673573218e-04,5.8428061337885027e-04
8.0000000000000004e-01,6,5.3299801900299504e-01,5.0014901026518288e-05,9.3845742251713130e-05
8.0000000000000004e-01,7,5.3295545830644864e-01,7.4542044801173546e-06,1.3986738711364322e-05
8.0000000000000004e-01,8,5.3294903468402544e-01,1.0305820569156410e-06,1.9337384678871235e-06
8.0000000000000004e-01,9,5.3294813647549688e-01,1.3237352836092953e-07,2.4837981818504491e-07
8.0000000000000004e-01,10,5.3294801992526930e-01,1.5823300780759553e-08,2.9690139861621648e-08
8.0000000000000004e-01,12,5.3294800428687439e-01,1.8490586839448042e-10,3.4694917134749702e-10
8.0000000000000004e-01,15,5.3294800410208831e-01,1.1979306435705439e-13,2.2477439343995456e-13
8.0000000000000004e-01,20,5.3294800410196619e-01,2.3314683517128287e-15,4.3746638204254367e-15
8.0000000000000004e-01,30,5.3294800410195553e-01,1.2989609388114332e-14,2.4373126999513146e-14
8.0000000000000004e-01,40,5.3294800410196852e-01,0.0000000000000000e+00,0.0000000000000000e+00
9.0000000000000002e-01,2,6.4192118837116230e-01,6.0823988380272587e-02,1.0467093694691038e-01
9.0000000000000002e-01,3,5.9359786265512526e-01,1.2500662664235551e-02,2.1512171568597360e-02
9.0000000000000002e-01,4,5.8359311819089787e-01,2.4959182000081626e-03,4.2951819421041659e-03
9.0000000000000002e-01,5,5.8156867081428831e-01,4.7147082339860091e-04,8.1134588741090560e-04
9.0000000000000002e-01,6,5.8118055940791291e-01,8.3359417023198823e-05,1.4345176164074738e-04
9.0000000000000002e-01,7,5.8111093516645185e-01,1.3735175562135105e-05,2.3636623205808670e-05
9.0000000000000002e-01,8,5.8109930691538747e-01,2.1069244977578450e-06,3.6257694888064799e-06
9.0000000000000002e-01,9,5.8109750113335112e-01,3.0114246141188517e-07,5.1823079067771515e-07
9.0000000000000002e-01,10,5.8109724016394970e-01,4.0173059989712101e-08,6.9133115751275219e-08
9.0000000000000002e-01,12,5.8109720057832637e-01,5.8743665487526187e-10,1.0109094569453639e-09
9.0000000000000002e-01,15,5.8109719999153620e-01,6.4648286723922865e-13,1.1125210502638183e-12
9.0000000000000002e-01,20,5.8109719999089193e-01,2.2204460492503131e-15,3.8211267397005607e-15
9.0000000000000002e-01,30,5.8109719999087517e-01,1.4543921622589551e-14,2.5028380145038672e-14
9.0000000000000002e-01,40,5.8109719999088971e-01,0.0000000000000000e+00,0.0000000000000000e+00
1.0000000000000000e+00,2,6.9592438948099855e-01,6.9671908741944399e-02,1.1125210819080998e-01
1.0000000000000000e+00,3,6.4155529934822697e-01,1.5302818609172819e-02,2.4435541702148039e-02
1.0000000000000000e+00,4,6.2953349784258739e-01,3.2810171035332347e-03,5.2391283139688891e-03
1.0000000000000000e+00,5,6.2692089680079488e-01,6.6841606174072865e-04,1.0673268087527834e-03
1.0000000000000000e+00,6,6.2638044097407830e-01,1.2796023502414933e-04,2.0432691120543056e-04
1.0000000000000000e+00,7,6.2627539105018826e-01,2.2910311134105577e-05,3.6583186236753299e-05
1.0000000000000000e+00,8,6.2625631129443626e-01,3.8305553821116334e-06,6.1166310712112659e-06
1.0000000000000000e+00,9,6.2625307904300598e-01,5.9830395182647322e-07,9.5537178730278509e-07
1.0000000000000000e+00,10,6.2625256816423736e-01,8.7425183203926338e-08,1.3960053795037104e-07
1.0000000000000000e+00,12,6.2625248228045238e-01,1.5413982312750818e-09,2.4613047910900795e-09
1.0000000000000000e+00,15,6.2625248074136608e-01,2.3119284264794260e-12,3.6916874544769371e-12
1.0000000000000000e+00,20,6.2625248073906203e-01,7.8825834748386114e-15,1.2586909780439038e-14
1.0000000000000000e+00,30,6.2625248073904705e-01,7.1054273576010019e-15,1.1345946844339414e-14
1.0000000000000000e+00,40,6.2625248073905415e-01,0.0000000000000000e+00,0.0000000000000000e+00
