rho,error_N2,error_N3,error_N4,error_N5,error_N6,error_N7,error_N8,error_N9,error_N10,error_N12,error_N15,error_N20
1.0000000000000001e-01,6.9425542132652007e-04,1.0209448983611313e-05,2.6931448355721477e-06,2.7245624138749758e-07,1.5944438727655275e-08,3.4012406779915239e-09,2.5848837098552124e-09,1.2942093507994912e-09,5.5164908752125541e-10,4.4440603974571502e-11,6.8453159807191355e-12,0.0000000000000000e+00
2.0000000000000001e-01,4.0412771385953117e-03,1.2980431295656070e-04,5.6615885265787202e-06,1.7879433025780322e-07,3.4688337119392898e-08,9.6247380343417177e-09,2.0811540546450402e-09,4.7359102750554882e-10,1.1114018039215523e-10,7.0014549713448559e-12,2.5402735470692051e-12,0.0000000000000000e+00
3.0000000000000004e-01,9.1244021945650067e-03,5.8703298818479910e-04,3.3187422168429181e-05,1.8332823463196313e-06,2.8359824183477045e-08,7.8072011910901296e-09,3.7313396816784916e-10,4.2822345669435435e-10,1.6639717381750074e-10,5.4796722714911539e-12,7.1487260555613830e-13,0.0000000000000000e+00
4.0000000000000002e-01,1.5327900634499125e-02,1.4039938394893037e-03,1.1346106266646450e-04,8.3477036896817403e-06,4.9238370641857543e-07,2.8715706257287366e-08,3.1844252790236283e-09,6.2500044029079049e-10,1.7859741463510659e-10,9.2318375166655642e-12,1.1278755707166965e-12,0.0000000000000000e+00
5.0000000000000000e-01,2.2230866628197843e-02,2.5629331980486225e-03,2.6644574550260813e-04,2.4997287275896340e-05,2.0635136043223312e-06,1.5150865617652443e-07,1.2338227772801247e-08,1.0899053881630039e-10,1.2645007263500929e-10,1.4467760323100265e-11,5.8075766418141939e-13,0.0000000000000000e+00
6.0000000000000009e-01,2.9541875946610396e-02,4.0197563407436410e-03,5.0203725726399862e-04,5.6876014817686116e-05,5.7957650564932628e-06,5.3057142723744732e-07,4.6139317089188836e-08,3.1461452887349139e-09,2.6185281720714215e-10,1.0704936936889453e-11,1.3938850074168840e-13,0.0000000000000000e+00
7.0000000000000007e-01,3.7057476717127724e-02,5.7217151159559276e-03,8.2175137974793699e-04,1.0784353315040907e-04,1.2856641171732353e-05,1.3907151600878187e-06,1.3867612341789126e-07,1.2418622352683428e-08,1.0382473214498589e-09,7.6155748374162613e-13,2.7922109069322687e-14,0.0000000000000000e+00
8.0000000000000004e-01,4.4635095928224955e-02,7.6163292099954427e-03,1.2212010276044238e-03,1.8015945177801695e-04,2.4303057396035666e-05,2.9948280929614768e-06,3.3894409756651811e-07,3.5191842162607401e-08,3.3692566514531563e-09,2.2205015604015443e-11,3.8857805861880479e-14,0.0000000000000000e+00
9.0000000000000002e-01,5.2174932217110115e-02,9.6555741845171239e-03,1.6923546370598008e-03,2.7454601603404960e-04,4.0935864556335133e-05,5.6030496594638990e-06,7.0559803705405599e-07,8.1950894903481952e-08,8.8056608116282575e-09,8.1262829798589564e-11,1.8041124150158794e-14,0.0000000000000000e+00
1.0000000000000000e+00,5.9607602846218133e-02,1.1797535832621553e-02,2.2252887761351481e-03,3.9045774812962453e-04,6.3237785288827730e-05,9.4379803773358972e-06,1.2994827010004428e-06,1.6547171943770422e-07,1.9547075624792853e-08,2.2068424865295810e-10,1.5742962489184720e-13,0.0000000000000000e+00
