rho,error_N2,error_N3,error_N4,error_N5,error_N6,error_N7,error_N8,error_N9,error_N10,error_N12,error_N15,error_N20,error_N30,error_N40,convergence_rate
1.0000000000000001e-01,1.0339582835082461e-04,3.0796021034805443e-04,1.2429089709585506e-04,3.6812694070256780e-05,8.6239958391465255e-06,6.1714122855105469e-07,9.3936659203985862e-07,8.5254584950011925e-07,5.2894811182480073e-07,1.2229412274522566e-07,2.4960352673630837e-09,1.7852098965764895e-09,2.6950663922775675e-11,0.0000000000000000e+00,-6.1375037015141336e+00
2.0000000000000001e-01,3.7349764126718143e-03,4.4170459414252794e-04,1.4665260520635437e-04,3.5809743471421074e-05,6.6190416252998041e-06,1.4618238097785508e-07,1.0398776617570604e-06,7.5109867692102483e-07,4.1037407050303898e-07,7.7836164430467036e-08,2.6031924671432449e-09,8.2629370012909931e-10,8.8552498667127111e-12,0.0000000000000000e+00,-7.2366818130143953e+00
3.0000000000000004e-01,9.6590058684406510e-03,2.4371351889562742e-04,1.2530550948325336e-04,2.4082049047413623e-05,3.2737748142941392e-06,5.8814745468316332e-07,7.9341421727052719e-07,4.7533198582749847e-07,2.3034712859359985e-07,3.5611801896262563e-08,1.6218736909046072e-09,2.7866420282407489e-10,2.1310175846167567e-12,0.0000000000000000e+00,-7.8490090292306318e+00
4.0000000000000002e-01,1.7008381142504081e-02,3.1409357722667064e-04,1.0673666107169355e-04,1.2414144065553412e-05,1.0609537633432531e-06,6.2540347212092229e-07,5.0137445462006269e-07,2.5554075910871887e-07,1.1035156277650060e-07,1.3759904493593211e-08,7.9440187761292691e-10,8.0803586044453368e-11,4.4736436777270683e-13,0.0000000000000000e+00,-8.5394719786431814e+00
5.0000000000000000e-01,2.5176001341878584e-02,1.1970767465164234e-03,1.2001146066992208e-04,2.8843660143662575e-06,1.0971447345076157e-07,4.7596532010141246e-07,2.7730565121952822e-07,1.2228796397728559e-07,4.7185219065326578e-08,4.6650985852103588e-09,3.3319824677136012e-10,2.1076695944088897e-11,8.9706020389712648e-14,0.0000000000000000e+00,-9.3263026550836639e+00
6.0000000000000009e-01,3.3739525305650997e-02,2.3449383542533675e-03,1.7916838611914399e-04,6.0362119223555943e-06,5.1739571349518343e-08,3.0580455051554267e-07,1.3610645110961883e-07,5.2666534466894177e-08,1.8169873550188953e-08,1.3844138058161093e-09,1.2328832399433054e-10,4.9972803672915234e-12,2.0317081350640365e-14,0.0000000000000000e+00,-1.0241321153191357e+01
7.0000000000000007e-01,4.2408414157896535e-02,3.6915805780988187e-03,2.8757486251052011e-04,1.6704208788742569e-05,6.1162156977934146e-07,1.9300378123476847e-07,5.7675126952094757e-08,2.0201933070840283e-08,6.2085578900195060e-09,3.4643399260403385e-10,4.0196512784973493e-11,1.0673684158746255e-12,2.2204460492503131e-16,0.0000000000000000e+00,-1.0989242925620296e+01
8.0000000000000004e-01,5.0986233963078442e-02,5.1750405008239575e-03,4.4197165375459146e-04,3.1059782303777261e-05,1.6947461299876565e-06,1.6277947778586821e-07,1.7187401057938700e-08,6.7108670842586093e-09,1.7832177956478290e-09,6.5733418708191493e-11,1.1093903573566877e-11,1.9473311851925246e-13,7.9936057773011271e-15,0.0000000000000000e+00,-1.2147605131281086e+01
9.0000000000000002e-01,5.9343627377169916e-02,6.7418092119019279e-03,6.3555729742448275e-04,5.0239781477112722e-05,3.3231209618511670e-06,2.1928430593565196e-07,4.7629199473320227e-09,1.9985583188386613e-09,3.4522074088272348e-10,6.5091265710748303e-12,2.2013502132267604e-12,3.3084646133829665e-14,4.9960036108132044e-15,0.0000000000000000e+00,-1.3432670230623577e+01
1.0000000000000000e+00,6.7398857937057799e-02,8.3480808896052583e-03,8.6009620531590780e-04,7.4601886194680667e-05,5.5568411980733146e-06,3.6188968044470471e-07,2.0913392462240665e-08,1.0855217835725739e-09,5.1114446009137282e-11,7.8714812445923599e-14,3.9968028886505635e-15,1.7763568394002505e-15,9.2148511043887993e-15,0.0000000000000000e+00,-1.4753398494365120e+01
