rho,error_N2,error_N3,error_N4,error_N5,error_N6,error_N7,error_N8,error_N9,error_N10,error_N12,error_N15,error_N20,error_N30,error_N40,convergence_rate
1.0000000000000001e-01,1.8845211481212376e-04,6.8535838126937421e-06,9.3108121124452214e-06,2.9645927198951316e-06,6.7922436323974988e-07,1.0873981164116753e-07,1.3461378817192227e-09,1.1626733326108862e-08,6.9194709684250455e-09,1.0483407059114214e-09,2.7656182899349346e-11,1.9850093790907408e-12,4.7878367936959876e-15,0.0000000000000000e+00,-7.9675946949719805e+00
2.0000000000000001e-01,3.1203030526830711e-03,1.7154928446727613e-05,1.4974500681053105e-05,2.8958530023104334e-06,4.7707252320838833e-07,3.2797883992019550e-08,2.0044511800376696e-08,1.3827286177159337e-08,5.9820098041729608e-09,5.8986504569702447e-10,3.2402552863075584e-11,7.4329431498654230e-13,2.1177504194724861e-14,0.0000000000000000e+00,-9.3595268935566409e+00
3.0000000000000004e-01,8.5541629933595931e-03,2.4883841988287969e-04,2.0674928921604607e-05,1.5112678156126158e-06,1.8772206222816834e-07,1.9632354242293815e-08,2.1805631078564147e-08,9.7257184528132257e-09,3.3769207430367487e-09,2.0691154345442442e-10,1.9827084418722052e-11,1.3811174426336947e-13,3.7414515929867775e-14,0.0000000000000000e+00,-1.0134350719927362e+01
4.0000000000000002e-01,1.5229040343134603e-02,7.5721683025015141e-04,4.3058207635116030e-05,6.3755058493653038e-07,6.2514763532472983e-08,3.2716290399026349e-08,1.5214777826511039e-08,5.2597546318366994e-09,1.5080676707412977e-09,4.5393133696336463e-11,9.0827345644584057e-12,3.8302694349567901e-15,1.4599432773820809e-14,0.0000000000000000e+00,-1.0578559488182776e+01
5.0000000000000000e-01,2.2570726455572399e-02,1.5251369412603299e-03,9.5234233803420665e-05,4.4820404613288289e-06,1.6862292739894258e-07,3.2481338896328538e-08,8.1043008415271345e-09,2.3702538265446549e-09,5.5783389019126162e-10,3.1402658251522553e-13,3.4915959012948861e-12,4.1078251911130792e-14,2.2926105458509483e-14,0.0000000000000000e+00,-1.1731076243106468e+01
6.0000000000000009e-01,3.0205414658786622e-02,2.5076437582955413e-03,1.8357052409823105e-04,1.1456080671878865e-05,5.8846261208334028e-07,4.4763583784135363e-08,2.5022732219603938e-09,9.4884416990126397e-10,1.6683276982121242e-10,6.4937499821837719e-12,1.1591838600111259e-12,2.0150547896946591e-14,4.5519144009631418e-15,0.0000000000000000e+00,-1.3118113840103028e+01
7.0000000000000007e-01,3.7890723544642180e-02,3.6533943297684668e-03,3.0875639925731502e-04,2.2781371028068875e-05,1.4488055199990413e-06,9.1792819456593122e-08,2.9614420915535788e-09,4.8940901331562259e-10,2.8984925570796349e-11,3.9954706210210134e-12,3.7692071686024065e-13,4.7573056605187958e-14,3.5416114485542494e-14,0.0000000000000000e+00,-1.2361993987645066e+01
8.0000000000000004e-01,4.5471352298726786e-02,4.9142513555933132e-03,4.6775750479244316e-04,3.9171611631139136e-05,2.8862969981835462e-06,1.9430945075171735e-07,1.1013523870673225e-08,6.8844963063696696e-10,2.6802893238198067e-11,1.6261436641684668e-12,1.1324274851176597e-13,2.4091839634365897e-14,2.1538326677728037e-14,0.0000000000000000e+00,-1.2903993281244713e+01
9.0000000000000002e-01,5.2850102607670868e-02,6.2489629104678368e-03,6.5553975871490699e-04,6.0808926206634695e-05,5.0102181050615258e-06,3.7145710629626905e-07,2.4713690316424675e-08,1.5196599534306188e-09,8.5227713775282155e-11,5.7798210661985649e-13,5.1070259132757201e-14,2.0095036745715333e-14,1.9317880628477724e-14,0.0000000000000000e+00,-1.3184298175308266e+01
1.0000000000000000e+00,5.9968690876894715e-02,7.6239822015330416e-03,8.6630378551655340e-04,8.7446400224622245e-05,7.8818580582229458e-06,6.3903713232171810e-07,4.6953900767476853e-08,3.1483498030837609e-09,1.9382839777648542e-10,5.4389825976386419e-13,4.7739590058881731e-14,2.0317081350640365e-14,1.9095836023552692e-14,0.0000000000000000e+00,-1.3276549322312309e+01
