rho,error_N2,error_N3,error_N4,error_N5,error_N6,error_N7,error_N8,error_N9,error_N10,error_N12,error_N15,error_N20,error_N30,error_N40,convergence_rate
1.0000000000000001e-01,3.8513842591000880e-04,1.1522533576766025e-05,1.6081975776668922e-05,4.5321252972879700e-06,8.6171821532532444e-07,4.0637444201352402e-08,6.6912704543842239e-08,4.4621734099359323e-08,1.8533167542300610e-08,6.4380896447335800e-10,1.4180725899093360e-09,1.1177626879632641e-10,6.4601102245376296e-14,0.0000000000000000e+00,-7.6138800461958098e+00
2.0000000000000001e-01,2.9069328432631547e-03,3.4980956586855294e-05,2.2780999581639705e-05,4.2747812207255542e-06,4.9930489690042101e-07,9.0488226717200249e-08,9.6278542804917322e-08,4.5606865478609038e-08,1.5337128705938952e-08,1.2088053336078985e-09,1.0124329430372114e-09,5.8000187985740581e-11,6.8833827526759706e-15,0.0000000000000000e+00,-7.5069022985967910e+00
3.0000000000000004e-01,8.4319316963100133e-03,1.6944800965129625e-04,2.4143545626686969e-05,2.3240291022741388e-06,7.1870543572050138e-08,1.4285677629732874e-07,8.0570420446512969e-08,3.0487937396905807e-08,8.3796490857324102e-09,1.0788394622096575e-09,5.0652415595209277e-10,2.1191159937927750e-11,3.8302694349567901e-15,0.0000000000000000e+00,-8.3603089405596069e+00
4.0000000000000002e-01,1.5258830573975923e-02,6.6417208659885763e-04,3.9141605315484718e-05,4.6585431290324664e-08,1.1487374595997579e-07,1.2567726936918433e-07,5.1859052940805839e-08,1.6262618696138986e-08,3.5596654512914938e-09,7.0628952686391244e-10,2.1287316354090535e-10,6.5210614685895507e-12,6.9944050551384862e-15,0.0000000000000000e+00,-9.0927128187631574e+00
5.0000000000000000e-01,2.2782707451962536e-02,1.4322085436874743e-03,8.2971773223639023e-05,3.2123714904797041e-06,5.5138237808893820e-08,8.7751864219498543e-08,2.7871816576929831e-08,7.3154005075792838e-09,1.1770560082169368e-09,3.8266184665403102e-10,7.9385775730855812e-11,1.7886248038223584e-12,4.1633363423443370e-15,0.0000000000000000e+00,-1.0313566293614766e+01
6.0000000000000009e-01,3.0609767362092977e-02,2.4258896851344081e-03,1.6331571436239978e-04,8.9138848641256985e-06,2.6091505861414177e-07,6.2302809133996107e-08,1.2439830776589389e-08,2.7975214922371094e-09,2.5496310618322582e-10,1.7916051975319647e-10,2.6696367338985283e-11,4.5496939549138915e-13,1.3322676295501878e-15,0.0000000000000000e+00,-1.1403955513574664e+01
7.0000000000000007e-01,3.8484851803293196e-02,3.5903024133593364e-03,2.8146030951758938e-04,1.8423564736802511e-05,9.1209274405423812e-07,6.8388755103399035e-08,3.2248609338481060e-09,9.2570290322058213e-10,9.9977803813544597e-12,7.2885419921675521e-11,8.0296325144502134e-12,1.0991207943789050e-13,4.4408920985006262e-16,0.0000000000000000e+00,-1.2602337666367875e+01
8.0000000000000004e-01,4.6244769889314474e-02,4.8738433575077345e-03,4.3446345777620188e-04,3.2610535306787369e-05,2.0146065599080387e-06,1.1970721847109900e-07,3.6441634154726898e-09,4.0630487863069220e-10,4.8652304407426072e-11,2.4850788093999654e-11,2.0629054020560034e-12,2.8310687127941492e-14,2.5535129566378600e-15,0.0000000000000000e+00,-1.3357100470328254e+01
9.0000000000000002e-01,5.3787745702061240e-02,6.2323027884668702e-03,6.1708539268423568e-04,5.1778989353934435e-05,3.6768843190149170e-06,2.2872532190465478e-07,1.1808994004880446e-08,5.9114224626455325e-10,4.3860803877748822e-11,6.0811355950818324e-12,3.8091751974889121e-13,1.1990408665951691e-14,2.3314683517128287e-15,0.0000000000000000e+00,-1.4084179390807311e+01
1.0000000000000000e+00,6.1053148326551065e-02,7.6298040298903302e-03,8.2318037246309483e-04,7.5760273728797678e-05,5.9700695886899524e-06,4.0670645795604088e-07,2.4247219010398169e-08,1.2809970861837883e-09,6.0670024559783542e-11,1.0580425424677742e-13,3.6637359812630166e-15,1.1768364061026659e-14,1.9984014443252818e-15,0.0000000000000000e+00,-1.4496654804158283e+01
