rho,error_N2,error_N3,error_N4,error_N5,error_N6,error_N7,error_N8,error_N9,error_N10,error_N12,error_N15,error_N20,error_N30,error_N40,convergence_rate
1.0000000000000001e-01,1.0339586859815786e-04,3.0796006949578014e-04,1.2429092037888334e-04,3.6812603860209014e-05,8.6240441795476519e-06,6.1706238821401804e-07,9.3932728756351835e-07,8.5262317385537134e-07,5.2893647588259096e-07,1.2231018149677642e-07,2.4353274813426751e-09,1.7486152664725196e-09,3.5081465510344856e-11,0.0000000000000000e+00,-6.0910664141948185e+00
2.0000000000000001e-01,3.7349764276634889e-03,4.4170451491257201e-04,1.4665262212154584e-04,3.5809692433858009e-05,6.6190700665214042e-06,1.4623055757945203e-07,1.0398612621531633e-06,7.5114468281456404e-07,4.1037748327310553e-07,7.7854444641145548e-08,2.5705021444721865e-09,8.0847195604860644e-10,1.1616180239926166e-11,0.0000000000000000e+00,-7.1877432590667505e+00
3.0000000000000004e-01,9.6590058728271422e-03,2.4371348374302437e-04,1.2530551914019528e-04,2.4082024882743358e-05,3.2737874294808122e-06,5.8817108139486152e-07,7.9341052955372859e-07,4.7535362140971316e-07,2.3035328050591275e-07,3.5623237581994260e-08,1.6083154252832799e-09,2.7232693877721204e-10,2.8185231926158849e-12,0.0000000000000000e+00,-7.7982114095601034e+00
4.0000000000000002e-01,1.7008381143698514e-02,3.1409359160411432e-04,1.0673666612748267e-04,1.2414132839977388e-05,1.0609585810450461e-06,6.2541426454343352e-07,5.0137482626722019e-07,2.5555021471168615e-07,1.1035592961672336e-07,1.3765572848267738e-08,7.8935191716311692e-10,7.8851369877952493e-11,5.9474647429169636e-13,0.0000000000000000e+00,-8.4876674597920658e+00
5.0000000000000000e-01,2.5176001342199883e-02,1.1970767521535253e-03,1.2001146321066747e-04,2.8843607542961003e-06,1.0971603436882305e-07,4.7597009139588309e-07,2.7730668056280550e-07,1.2229197426938399e-07,4.7187603102738507e-08,4.6675605602786163e-09,3.3144531563777946e-10,2.0534351996559508e-11,1.1907141939104804e-13,0.0000000000000000e+00,-9.2749150232048017e+00
6.0000000000000009e-01,3.3739525305737816e-02,2.3449383563853843e-03,1.7916838735670959e-04,6.0362143822212388e-06,5.1739930784222565e-08,3.0580661253276631e-07,1.3610722748857995e-07,5.2668193195604118e-08,1.8171001314737367e-08,1.3853861946522272e-09,1.2271650362549735e-10,4.8611670244724792e-12,2.2870594307278225e-14,0.0000000000000000e+00,-1.0222325545260812e+01
7.0000000000000007e-01,4.2408414157921903e-02,3.6915805788692579e-03,2.8757486308983449e-04,1.6704209911067025e-05,6.1162156722582850e-07,1.9300464410010321e-07,5.7675560494185873e-08,2.0202592210250003e-08,6.2090283470261909e-09,3.4678449001290801e-10,4.0019099145638393e-11,1.0358380819752711e-12,6.8278716014447127e-15,0.0000000000000000e+00,-1.0996242381666098e+01
8.0000000000000004e-01,5.0986233963092209e-02,5.1750405010839717e-03,4.4197165400960969e-04,3.1059782784392809e-05,1.6947460683702786e-06,1.6277981673695763e-07,1.7187590239942097e-08,6.7111126655916564e-09,1.7833833299008006e-09,6.5836669449481633e-11,1.1042278202921807e-11,1.9639845305619019e-13,3.1086244689504383e-15,0.0000000000000000e+00,-1.2146324065785643e+01
9.0000000000000002e-01,5.9343627377179131e-02,6.7418092119738704e-03,6.3555729751507695e-04,5.0239781644312309e-05,3.3231209265460748e-06,2.1928441285012923e-07,4.7628634369800693e-09,1.9986331478705210e-09,3.4525937664398043e-10,6.5272232063762203e-12,2.1856960685795457e-12,3.8635761256955448e-14,1.2212453270876722e-15,0.0000000000000000e+00,-1.3400209950140461e+01
1.0000000000000000e+00,6.7398857937069678e-02,8.3480808896182479e-03,8.6009620532956355e-04,7.4601886215996949e-05,5.5568412077322549e-06,3.6188969088080114e-07,2.0913404119582424e-08,1.0855327747805177e-09,5.1125659261685996e-11,9.0372154204487742e-14,3.4416913763379853e-15,1.2212453270876722e-14,2.4424906541753444e-15,0.0000000000000000e+00,-1.4594822402624976e+01
