rho,error_N2,error_N3,error_N4,error_N5,error_N6,error_N7,error_N8,error_N9,error_N10,error_N12,error_N15,error_N20,error_N30,error_N40,convergence_rate
1.0000000000000001e-01,7.0030668354825742e-04,9.6952681469392177e-06,2.6681913491005682e-06,2.6270168043684983e-07,1.2423843009923274e-08,4.1600624611781711e-09,2.5155393323927910e-09,1.1348367523478231e-09,4.6115505858423944e-10,3.7504957473011302e-11,5.4407311989024265e-12,4.9751869291014827e-14,1.3461454173580023e-15,0.0000000000000000e+00,-9.6520992613932286e+00
2.0000000000000001e-01,4.0470603370718616e-03,1.3101299738207950e-04,5.7621203894964168e-06,1.9017317931524502e-07,3.7109171402427421e-08,1.0045653753287809e-08,1.9588293209693575e-09,3.5050504165745622e-10,5.6651544566577172e-11,7.8113626678089076e-12,1.8082757513582237e-12,3.3750779948604759e-14,1.0547118733938987e-15,0.0000000000000000e+00,-1.1291212411687976e+01
3.0000000000000004e-01,9.1258815409163974e-03,5.8829838191098993e-04,3.3484860888888246e-05,1.8703392326291368e-06,2.9341460178189394e-08,8.1842769783513347e-09,4.1952535889677733e-10,4.6857662194810246e-10,1.8292076187087503e-10,5.6507021284346592e-12,8.7868601283958014e-13,1.1435297153639112e-14,6.6613381477509392e-15,0.0000000000000000e+00,-1.2422891106238469e+01
4.0000000000000002e-01,1.5322437549210310e-02,1.4043915652576788e-03,1.1389515682153073e-04,8.4384649949864610e-06,5.0280767077692801e-07,2.9995849026853705e-08,3.2166728169968906e-09,6.1176930188366896e-10,1.8058476936033685e-10,7.8716477780460536e-12,1.1289857937413217e-12,1.9595436384634013e-14,3.6637359812630166e-15,0.0000000000000000e+00,-1.2766596913142031e+01
5.0000000000000000e-01,2.2216719204860402e-02,2.5615176092156355e-03,2.6685060793152360e-04,2.5154267214499981e-05,2.0924477114325768e-06,1.5570400591080613e-07,1.2674619076502580e-08,1.6630163912623175e-10,1.2972456442383873e-10,1.2657042081087866e-11,5.7953641885433171e-13,1.4599432773820809e-14,5.1625370645069779e-15,0.0000000000000000e+00,-1.3343273242972067e+01
6.0000000000000009e-01,2.9517903035389814e-02,4.0156868934442813e-03,5.0218665885576330e-04,5.7089773886853656e-05,5.8524765512713017e-06,5.4088670226049018e-07,4.7449531137555567e-08,3.3183570335992840e-09,2.7961033488566045e-10,9.1656682243979049e-12,1.5709655798445965e-13,8.2711615334574162e-15,3.2751579226442118e-15,0.0000000000000000e+00,-1.3337053678611017e+01
7.0000000000000007e-01,3.7022954757497617e-02,5.7143090597097101e-03,8.2140074298492349e-04,1.0808523619904031e-04,1.2948308877880343e-05,1.4112731473447937e-06,1.4205416187795805e-07,1.2899007917344107e-08,1.0976303199683457e-09,6.2355676178071917e-13,1.0214051826551440e-14,1.7208456881689926e-15,1.1934897514720433e-14,0.0000000000000000e+00,-1.3064763394437692e+01
8.0000000000000004e-01,4.4589600240401928e-02,7.6050751226958146e-03,1.2201191526904354e-03,1.8038778346246565e-04,2.4433844174609476e-05,3.0302470299670148e-06,3.4591825825991407e-07,3.6325107588552896e-08,3.5284478117070250e-09,2.4663882047804009e-11,2.0872192862952943e-14,3.7192471324942744e-15,6.3837823915946501e-15,0.0000000000000000e+00,-1.3384205034611069e+01
9.0000000000000002e-01,5.2118256571578370e-02,9.6401251375270447e-03,1.6903445329845557e-03,2.7471514805277319e-04,4.1107211128210697e-05,5.6580912035641973e-06,7.1808518525839915e-07,8.4247396170411548e-08,9.1672727742242444e-09,8.7522822322938509e-11,3.4083846855992306e-14,4.3298697960381105e-15,4.4964032497318840e-15,0.0000000000000000e+00,-1.2961387696156770e+01
1.0000000000000000e+00,5.9539702709592524e-02,1.1777692630336789e-02,2.2221992681704661e-03,3.9052447721121819e-04,6.3449464023590529e-05,9.5173633515299727e-06,1.3197151846888744e-06,1.6960683690836476e-07,2.0266693767645449e-08,2.3574164842443679e-10,1.8340884366807586e-13,2.3314683517128287e-15,1.5543122344752192e-15,0.0000000000000000e+00,-1.2325747800282203e+01
