rho,error_N2,error_N3,error_N4,error_N5,error_N6,error_N7,error_N8,error_N9,error_N10,error_N11,error_N12,error_N13,error_N14,error_N15,error_N16,error_N17,error_N18,error_N19
-4.7999999999999998e-01,5.8511983124883649e-02,5.8680588431099190e-02,2.2844632661044584e-02,1.8523808642134654e-04,1.0350972684309234e-02,1.4600056547036666e-02,1.2583556350644787e-02,8.1698227921814248e-03,4.0863031862722887e-03,6.7724921773337776e-04,1.8972125107893922e-03,2.9098521190907833e-03,3.5087855169929627e-03,3.1306658670575693e-03,2.6765116768086572e-03,1.8190833104908544e-03,1.1942966001429189e-03,3.8666757355554360e-04
-4.5999999999999996e-01,5.4918072591514600e-02,5.4121387037250057e-02,2.0991965543793123e-02,1.5370863369212895e-04,9.3850450203908919e-03,1.2896676580862632e-02,1.0977869714570099e-02,7.0901963434035764e-03,3.4801791379329150e-03,5.5861658876449338e-04,1.6080419365264165e-03,2.4557214837869767e-03,2.9263155309736111e-03,2.5904969657098986e-03,2.2038098794612826e-03,1.4804080233395966e-03,9.7086333242152323e-04,3.0659104641439505e-04
-4.3999999999999995e-01,5.1441477947285263e-02,4.9769675882056219e-02,1.9198359770296491e-02,1.1155873718909914e-04,8.4693190402880814e-03,1.1350748441536829e-02,9.5417336517512052e-03,6.1249295255108027e-03,2.9529851280222785e-03,4.5782788411097286e-04,1.3590003405606899e-03,2.0636924987557648e-03,2.4312395630260997e-03,2.1351685249066388e-03,1.8069595338581212e-03,1.2002247517107212e-03,7.8579042491655482e-04,2.4197338952319791e-04
-4.2000000000000004e-01,4.8085903268664687e-02,4.5627427211802629e-02,1.7473626895415983e-02,6.3825851745691331e-05,7.6074475561493937e-03,9.9529261384229684e-03,8.2620251191065086e-03,5.2667416947222434e-03,2.4959802293969546e-03,3.7272848817809789e-04,1.1449869092333698e-03,1.7269126843114657e-03,2.0120676484811639e-03,1.7528901821434184e-03,1.4753072185295091e-03,9.6927657783973942e-04,6.3322325284836944e-04,1.9005900571572587e-04
-4.0000000000000002e-01,4.4852832128861375e-02,4.1694706440635665e-02,1.5825658158196088e-02,1.4429848102737175e-05,6.8015462660204751e-03,8.6935795871213584e-03,7.1258597306389504e-03,4.5077777039416178e-03,2.1011794694200114e-03,3.0132093734841492e-04,9.6150169359848769e-04,1.4389190521723605e-03,1.6585039818168279e-03,1.4331962192214998e-03,1.1993537887023398e-03,7.7960781593672257e-04,5.0802604656713379e-04,1.4853703310974131e-04
-3.8000000000000000e-01,4.1741924594148272e-02,3.7970036694516984e-02,1.4260528184893984e-02,3.3650297731224743e-05,6.0524536534518614e-03,7.5629968004071735e-03,6.1207568295456594e-03,3.8399280827531856e-03,1.7613130460501503e-03,2.4177832144217648e-04,8.0457560559699104e-04,1.1937191886243759e-03,1.3613929011732639e-03,1.1668694278067493e-03,9.7071886099020510e-04,6.2441383444611365e-04,4.0574161105677575e-04,1.1547894533281422e-04
-3.5999999999999999e-01,3.8751364121559051e-02,3.4450699287047054e-02,1.2782628408456675e-02,7.8222658225934882e-05,5.3599691523042448e-03,6.5515451080917497e-03,5.2347622743368349e-03,3.2550776038214324e-03,1.4697874794660781e-03,1.9244878935320564e-04,6.7071039596627857e-04,9.8583301848437221e-04,1.1126479831390923e-03,9.4584868573532876e-04,7.8207590180334741e-04,4.9790150688111545e-04,3.2253678121485496e-04,8.9283063260170437e-05
-3.3999999999999997e-01,3.5878157605051308e-02,3.1132981811751920e-02,1.1394819310757143e-02,1.1774844667949980e-04,4.7230658320881469e-03,5.6497979680297239e-03,4.4565359014319128e-03,2.7452927204278388e-03,1.2206469849213031e-03,1.5185362321684659e-04,5.5682643684207278e-04,8.1030575190427223e-04,9.0517110291643554e-04,7.6312816631329827e-04,6.2707007995527198e-04,3.9516098169245506e-04,2.5514101283863333e-04,6.8625547480549720e-05
-3.1999999999999995e-01,3.3118392678343433e-02,2.8012383519457701e-02,1.0098592607044210e-02,1.5122567859449099e-04,4.1400764058425465e-03,4.8486327984292310e-03,3.7754096991932939e-03,2.3029578876784806e-03,1.0085343420675463e-03,1.1868081157162536e-04,4.6021675266477713e-04,6.6270036871929339e-04,7.3276666940741420e-04,6.1265396720375231e-04,5.0022768128055173e-04,3.1204908363421935e-04,2.0078317734578688e-04,5.2417421391670604e-05
-3.0000000000000004e-01,3.0467456711882862e-02,2.5083785864976116e-02,8.8942363481396003e-03,1.7808840563368622e-04,3.6088530494710336e-03,4.1393044025373749e-03,3.1814219374588504e-03,1.9208699382230465e-03,8.2865114838412413e-04,9.1775617288597511e-05,3.7850618140772285e-04,5.3907615794382413e-04,5.9005490345598322e-04,4.8922226470721197e-04,3.9686327669063992e-04,2.4508431891528959e-04,1.5712989359165097e-04,3.9767151898434383e-05
-2.8000000000000003e-01,2.7920221933531830e-02,2.2341594590245623e-02,7.7809975609627602e-03,1.9811979469497309e-04,3.1269025730684963e-03,3.5134978875154543e-03,2.6653318021388483e-03,1.5922986602203426e-03,6.7671769506946755e-04,7.0129285493492066e-05,3.0961485555888735e-04,4.3595830220868881e-04,4.7238694801921000e-04,3.8838179321376565e-04,3.1298885062694404e-04,1.9135317454971323e-04,1.2222746678205998e-04,2.9948298145732188e-05
-2.6000000000000001e-01,2.5471200892038692e-02,1.9779858455996058e-02,6.7572384616271519e-03,2.1137752639827090e-04,2.6914990800415706e-03,2.9633644412412341e-03,2.2186184644587548e-03,1.3110206460216489e-03,5.4893287806731528e-04,5.2866756094060996e-05,2.5172540594214921e-04,3.5030225449952934e-04,3.7576374220504860e-04,3.0634244942676081e-04,2.4522761169062934e-04,1.4842718538429778e-04,9.4448603806834841e-05,2.2371733112674930e-05
-2.3999999999999999e-01,2.3114676160470388e-02,1.7392368715380330e-02,5.8205834587456151e-03,2.1813014603067060e-04,2.2997765268923664e-03,2.4815428840858356e-03,1.8334679573987489e-03,1.0713324244788491e-03,4.4193461649935650e-04,3.9234022467748986e-05,2.0325343826291253e-04,2.7945566261353139e-04,2.9675992095701265e-04,2.3989106783786629e-04,1.9073411555789455e-04,1.1429008811694730e-04,7.2444447497044262e-05,1.6561949190835312e-05
-2.1999999999999997e-01,2.0844807803802767e-02,1.5172742607398537e-02,4.9680551321084065e-03,2.1880313094213566e-04,1.9488036590630253e-03,2.0611695313930978e-03,1.5027507312696808e-03,8.6804790573483115e-04,3.5276123920571778e-04,2.8585601868552635e-05,1.6282093241903883e-04,2.2111981743244691e-04,2.3245348694961310e-04,1.8631485759984523e-04,1.4712154409438072e-04,8.7274283422117405e-05,5.5102048858057806e-05,1.2136975668070038e-05
-1.9999999999999996e-01,1.8655721749336635e-02,1.3114493501139551e-02,4.1961981449348540e-03,2.1393355131288372e-04,1.6356437226712761e-03,1.6958785695300460e-03,1.2199923122716005e-03,6.9648428011312435e-04,2.7881424769540808e-04,2.0372445305089082e-05,1.2923228223785110e-04,1.7331199793060859e-04,1.8036161268106254e-04,1.4333259017004774e-04,1.1239643175831038e-04,6.6005775972682867e-05,4.1507121286171733e-05,8.7914614090578436e-06
-1.8000000000000005e-01,1.6541581824009305e-02,1.1211089812246791e-02,3.5011906508118917e-03,2.0413230182017572e-04,1.3574011931476726e-03,1.3797948533942894e-03,9.7933908954303539e-04,5.5243973247928735e-04,2.1782279116611125e-04,1.4130507618587140e-05,1.0145273882206096e-04,1.3432962589773889e-04,1.3838264444437920e-04,1.0903334730860692e-04,8.4900753677452645e-05,4.9356748577172871e-05,3.0911752306933549e-05,6.2825075390071650e-06
-1.6000000000000003e-01,1.4496647872509288e-02,9.4560044129439469e-03,2.8789432144242927e-03,1.9005297375011831e-04,1.1112575580793371e-03,1.1075207697147926e-03,7.7552090461144307e-04,4.3216566088102870e-04,1.6781010972788390e-04,9.4701162929172744e-06,7.8589051537444887e-05,1.0271679792354937e-04,1.0474417518134549e-04,8.1822452333735196e-05,6.3261043904444536e-05,3.6404941553713766e-05,2.2706654966134221e-05,4.4178702966468641e-06
-1.4000000000000001e-01,1.2515322051121464e-02,7.8427559432373700e-03,2.3251856020685691e-03,1.7236652250968154e-04,8.9449796925451797e-04,8.7411857417746264e-04,6.0381180952739921e-04,3.3233551801406525e-04,1.2706212402310846e-04,6.0662152199103536e-06,5.9872121986090376e-05,7.7233507169774396e-05,7.7956912657883848e-05,6.0374091283108000e-05,4.6344062491765481e-05,2.6399044210922984e-05,1.6397499452883157e-05,3.0461913083368319e-06
-1.2000000000000000e-01,1.0592185106748420e-02,6.3649431847380561e-03,1.8355420356428731e-03,1.5174096532814818e-04,7.0453035528088293e-04,6.7508939870403184e-04,4.5999009312601424e-04,2.5001191721731042e-04,9.4098278069096319e-05,3.6495130584235369e-06,4.4641501608266854e-05,5.6827682948776270e-05,5.6773978538926517e-05,4.3590066856211140e-05,3.3218448915947607e-05,1.8729354991101066e-05,1.1584858564644973e-05,2.0489499494291685e-06
-9.9999999999999978e-02,8.7220241984720531e-03,5.0162734646768958e-03,1.4055956617532034e-03,1.2882541888228904e-04,5.3889837199606883e-04,5.0634993620589375e-04,3.4029844541860754e-04,1.8261325121642080e-04,6.7644679908773764e-05,1.9985318226861670e-06,3.2331575307228966e-05,4.0610045975469911e-05,4.0155220899618094e-05,3.0564102525706960e-05,2.3121766977704516e-05,1.2903025190261208e-05,7.9473160477100402e-06,1.3338687153141571e-06
-7.9999999999999960e-02,6.8998535984886311e-03,3.7905859040994958e-03,1.0309430827244170e-03,1.0423785686332343e-04,3.9528936952574339e-04,3.6420764236467368e-04,2.4140493458242596e-04,1.2788075091954565e-04,4.6609532454854052e-05,9.3252721615477707e-07,2.2459283284398390e-05,2.7831688268607768e-05,2.7236098088467831e-05,2.0551115705140510e-05,1.5432347072130703e-05,8.5232636938964434e-06,5.2273157991611363e-06,8.2953682593173150e-07
-6.0000000000000053e-02,5.1209294175780309e-03,2.6818702018523433e-03,7.0723984262866663e-04,7.8556033072496589e-05,2.7153837554366733e-04,2.4533514584111626e-04,1.6036530609660898e-04,8.3846652783686748e-05,3.0060804970026556e-05,3.0523565306556089e-07,1.4613241897429297e-05,1.7864229086006489e-05,1.7300687717165808e-05,1.2940899168506492e-05,9.6453543532229458e-06,5.2719439224205300e-06,3.2193661966203879e-06,4.8104917815122716e-07
-4.0000000000000036e-02,3.3807593347326796e-03,1.6842815471927522e-03,4.3023777125426529e-04,5.2311076858092137e-05,1.6562893498144396e-04,1.4674442877420438e-04,9.4586975532977985e-05,4.8803937244028955e-05,1.7206062941043515e-05,6.0751306416029216e-10,8.4441326962531038e-06,1.0182363557049989e-05,9.7583852402306770e-06,7.2356821155979134e-06,5.3525476134685945e-06,2.8951164191166889e-06,1.7602533562803557e-06,2.4648662576634561e-07
-2.0000000000000018e-02,1.6751081678585932e-03,7.9215217359502287e-04,1.9581507158394386e-04,2.5983324205020725e-05,7.5691507080489703e-05,6.5761226691793059e-05,4.1794972520657267e-05,2.1277938479783570e-05,7.3743501482793905e-06,7.8040151771374688e-08,3.6562368125169636e-06,4.3486029868075593e-06,4.1238770618866327e-06,3.0310818308360715e-06,2.2252375030205190e-06,1.1909900357112702e-06,7.2095686972327433e-07,9.4089599118885037e-08
0.0000000000000000e+00,9.6102795114447480e-16,1.4415419267167124e-15,2.8830838534334260e-15,2.5627412030519341e-15,0.0000000000000000e+00,3.2034265038149147e-16,9.6102795114447421e-16,1.9220559022889480e-15,4.1644544549593832e-15,1.9220559022889480e-15,6.7271956580113047e-15,6.4068530076298274e-16,2.8830838534334205e-15,5.7661677068668354e-15,9.2899368610632230e-15,0.0000000000000000e+00,4.4847971053408877e-15,1.2813706015259653e-15
2.0000000000000018e-02,1.6482825295763334e-03,6.9746524956456474e-04,1.6101106084903671e-04,2.5265585299309029e-05,6.3033080141522424e-05,5.2660253686854022e-05,3.2531302437936380e-05,1.6116745563355891e-05,5.3917572368552408e-06,1.7712998216616593e-07,2.7344782911383619e-06,3.1633456399286081e-06,2.9368705631131753e-06,2.1209380880043982e-06,1.5332512268220744e-06,8.0336800999808444e-07,4.8199798822687323e-07,5.3533559229643202e-08
4.0000000000000036e-02,3.2732012500633623e-03,1.3053381039504486e-03,2.9084039372296103e-04,4.9493617762366715e-05,1.1486247682029882e-04,9.4099147215042506e-05,5.7303862312511195e-05,2.7999466095038339e-05,9.1975298554397567e-06,4.1049504703738471e-07,4.7231305928471801e-06,5.3881964191641873e-06,4.9492295062132652e-06,3.5427595930989653e-06,2.5411838603453529e-06,1.3172827254791242e-06,7.8676681572464879e-07,7.9574654358871566e-08
6.0000000000000053e-02,4.8779673573526930e-03,1.8285152764706200e-03,3.9291992180418012e-04,7.2416394745374035e-05,1.5681671240962147e-04,1.2597687113086870e-04,7.5619463236489826e-05,3.6435635278865564e-05,1.1746982715332699e-05,6.6820143571066914e-07,6.1128723318343292e-06,6.8766857707833196e-06,6.2489410832533565e-06,4.4336523928462102e-06,3.1552636278048274e-06,1.6180450186295547e-06,9.6199793141182877e-07,8.7614670435387509e-08
8.0000000000000071e-02,6.4655478095054786e-03,2.2716952010562452e-03,4.7048574846277058e-04,9.3816190500126129e-05,1.9010504657879929e-04,1.4975488871860065e-04,8.8599873107872429e-05,4.2091037048164193e-05,1.3312675461570056e-05,9.2715272763388423e-07,7.0259012303619528e-06,7.7935962506936463e-06,7.0060904630991905e-06,4.9268833054103012e-06,3.4785353102209648e-06,1.7645461578563726e-06,1.0442691893916556e-06,8.4444903084013312e-08
1.0000000000000009e-01,8.0386728997572515e-03,2.6393789343160112e-03,5.2657570549992372e-04,1.1352255913203713e-04,2.1582466295130831e-04,1.6671530699133297e-04,9.7207892218301173e-05,4.5525877825636218e-05,1.4118654296665922e-05,1.1712383571893525e-06,7.5634206456176578e-06,8.2725625242252576e-06,7.3564199613435077e-06,5.1273686214742265e-06,3.5911977465524769e-06,1.8018824281262891e-06,1.0614032419642427e-06,7.4834159938252931e-08
1.2000000000000011e-01,9.5998447356882288e-03,2.9358722118659752e-03,5.6402941349763258e-04,1.3140923293127049e-04,2.3496792614823014e-04,1.7797890393823901e-04,1.0226642110561235e-04,4.7209130847922220e-05,1.4347924323962480e-05,1.3898273793083726e-06,7.8088553097238611e-06,8.4213394858506652e-06,7.4075545094670625e-06,5.1171068347344306e-06,3.5551701153963000e-06,1.7642743671830718e-06,1.0343616081570639e-06,6.2051859386902386e-08
1.3999999999999990e-01,1.1151346394757761e-02,3.1652884712127516e-03,5.8549041478903052e-04,1.4739074896996662e-04,2.4842958676007942e-04,1.8452181804946843e-04,1.0447566086264903e-04,4.7531245401938316e-05,1.4148922042989120e-05,1.5765250872129544e-06,7.8306212139556131e-06,8.3262611131895703e-06,7.2441953811591686e-06,4.9596544393487596e-06,3.4178177322347070e-06,1.6774149503157032e-06,9.7875956331372471e-07,4.8269003724565884e-08
1.5999999999999992e-01,1.2695251561990875e-02,3.3315526749354146e-03,5.9340999265088124e-04,1.6141891465761005e-04,2.5701384079812595e-04,1.8719092612673460e-04,1.0442856641579290e-04,4.6815356771395811e-05,1.3641099338351781e-05,1.7281545378750041e-06,7.6845050225177181e-06,8.0560016517544630e-06,6.9324380383289919e-06,4.7037998540944148e-06,3.2149802806358263e-06,1.5603506000883005e-06,9.0607259947694807e-07,3.4863204448343232e-08
