rho,error_N2,error_N3,error_N4,error_N5,error_N6,error_N7,error_N8,error_N9,error_N10,error_N12,error_N15,error_N20,error_N30,error_N40,convergence_rate
1.0000000000000001e-01,6.9909888230336448e-04,9.7995258711569555e-06,2.6730476444108975e-06,2.6453814756799421e-07,1.3083479702413747e-08,4.0152688812744586e-09,2.5268191289340436e-09,1.1640197833395760e-09,4.7799006419602108e-10,3.8880024200160790e-11,5.7066712466635749e-12,5.1597615069454150e-14,2.1926904736346842e-15,0.0000000000000000e+00,-9.6324583380353062e+00
2.0000000000000001e-01,4.0459026477240034e-03,1.3076979252638066e-04,5.7418811700016281e-06,1.8803103590814274e-07,3.6669484643203631e-08,9.9646768614292114e-09,1.9797417594169531e-09,3.7271039032837905e-10,6.6656707931045389e-11,7.6039174956576971e-12,1.9460266731385900e-12,3.4666713943920513e-14,4.9682480351975755e-15,0.0000000000000000e+00,-1.1259645161869896e+01
3.0000000000000004e-01,9.1255776023986268e-03,5.8804347449040173e-04,3.3425376108148219e-05,1.8630776749406497e-06,2.9113443128503391e-08,8.1085937408964526e-09,4.1276584927807392e-10,4.6181469759432048e-10,1.8003434854030331e-10,5.6037952056442464e-12,8.6483598060738132e-13,2.1788126858268697e-14,1.1102230246251565e-15,0.0000000000000000e+00,-1.2289680527322291e+01
4.0000000000000002e-01,1.5323513156714208e-02,1.4043089009846965e-03,1.1380844164743387e-04,8.4205153493277507e-06,5.0071410079288725e-07,2.9738423446001860e-08,3.2111259207212584e-09,6.1493177216931372e-10,1.8035339888200497e-10,8.1269435625586084e-12,1.1430301150028299e-12,3.1530333899354446e-14,2.1094237467877974e-15,0.0000000000000000e+00,-1.2658692148491552e+01
5.0000000000000000e-01,2.2219521812171739e-02,2.5617952612398964e-03,2.6676965111060991e-04,2.5123158546080937e-05,2.0866902691318856e-06,1.5486631582684041e-07,1.2607073940351654e-08,1.5462298108559480e-10,1.2913825564453418e-10,1.2991552278407426e-11,5.9108273831043334e-13,2.0150547896946591e-14,3.2196467714129540e-15,0.0000000000000000e+00,-1.3272350669427219e+01
6.0000000000000009e-01,2.9522660540671541e-02,4.0164920057192965e-03,5.0215642537487781e-04,5.7047400922272118e-05,5.8412203460811440e-06,5.3883393830167492e-07,4.7187211971166931e-08,3.2836900420996074e-09,2.7607016672703821e-10,9.4493857183408636e-12,1.6103784972187896e-13,1.3877787807814457e-14,4.1078251911130792e-15,0.0000000000000000e+00,-1.3643965126438617e+01
7.0000000000000007e-01,3.7029811886794439e-02,5.7157773982537963e-03,8.2146983575287491e-04,1.0803734523623376e-04,1.2930136200683950e-05,1.4071891049627361e-06,1.4138012938147426e-07,1.2802669757672192e-08,1.0856955889870790e-09,3.6315395135488870e-13,5.7176485768195562e-15,9.1593399531575415e-15,6.9944050551384862e-15,0.0000000000000000e+00,-1.2814346661127836e+01
8.0000000000000004e-01,4.4598642136185362e-02,7.6073083958845822e-03,1.2203335134489679e-03,1.8034259628257887e-04,2.4407937275705560e-05,3.0232179775713242e-06,3.4452945407714708e-07,3.6098401046125161e-08,3.4964465767117758e-09,2.4171609158685214e-11,2.0428103653102880e-14,4.3853809472693683e-15,2.6645352591003757e-15,0.0000000000000000e+00,-1.3394842616866136e+01
9.0000000000000002e-01,5.2129524786760639e-02,9.6431923600675540e-03,1.6907433067036015e-03,2.7468177888206879e-04,4.1073292531390582e-05,5.6471754205089653e-06,7.1560152548055811e-07,8.3788779192683904e-08,9.0947001596397570e-09,8.6251894515498861e-11,3.4972025275692431e-14,5.2180482157382357e-15,4.4964032497318840e-15,0.0000000000000000e+00,-1.2959834732787721e+01
1.0000000000000000e+00,5.9553206503896283e-02,1.1781633457782270e-02,2.2228124989932541e-03,3.9051151525459904e-04,6.3407586182284703e-05,9.5016275604153932e-06,1.3156939908665066e-06,1.6878198438874392e-07,2.0122470578698426e-08,2.3268886817362500e-10,1.8351986597053838e-13,1.1102230246251565e-14,2.1094237467877974e-15,0.0000000000000000e+00,-1.3432702694202424e+01
