rho,error_N2,error_N3,error_N4,error_N5,error_N6,error_N7,error_N8,error_N9,error_N10,error_N12,error_N15,error_N20,error_N30,error_N40,convergence_rate
1.0000000000000001e-01,6.0291334327849944e-04,1.6512590509693004e-05,4.0185160080918880e-06,1.1789109679444243e-06,4.3500667223916878e-07,1.6582700063105804e-07,7.2785658986052049e-08,3.9004469959413868e-08,2.2912489253124058e-08,7.0741630053827720e-09,6.5579713881547264e-10,3.0182384369581428e-12,3.6914915568786455e-14,0.0000000000000000e+00,-8.0487990759547241e+00
2.0000000000000001e-01,3.9645545239154756e-03,1.1232871443386805e-04,5.2127512325250702e-06,7.6766221338009366e-07,2.3817612501697560e-07,3.3672242910620653e-08,4.5940048709613990e-09,3.9695620679403021e-09,4.7264944735836423e-10,7.6887679556492117e-10,8.0765144572225722e-11,1.2948531136203201e-12,3.7192471324942744e-15,0.0000000000000000e+00,-9.2096959826479878e+00
3.0000000000000004e-01,9.1312721693521670e-03,5.6931791253200803e-04,2.9432362371989429e-05,5.2323039834156759e-07,1.3205845292296736e-07,2.1640801706190871e-08,2.2507780278457901e-08,1.1283419282248630e-08,4.4182459912889271e-09,4.5590520247884569e-10,9.8312469276606862e-12,1.1060596882828122e-13,2.3869795029440866e-15,0.0000000000000000e+00,-1.0501530026374070e+01
4.0000000000000002e-01,1.5463424504088330e-02,1.4027106840790449e-03,1.0734399717149401e-04,6.1478831537287171e-06,3.6003566916686935e-07,3.3141944466574813e-08,1.0821118390236251e-08,4.9002210622539621e-09,1.7914635885851737e-09,1.8830331738328709e-10,3.5779157414594920e-12,2.3647750424515834e-14,7.2164496600635175e-16,0.0000000000000000e+00,-1.1848205735885893e+01
5.0000000000000000e-01,2.2524348484789902e-02,2.5953395802122414e-03,2.6093699081652932e-04,2.1635514503959286e-05,1.5385095853415187e-06,9.3603545248122089e-08,5.6099717093971435e-09,2.3735857723750087e-10,2.3458979203638819e-10,2.9633961950992216e-11,2.8804736373899686e-13,8.7707618945387367e-15,4.2188474935755949e-15,0.0000000000000000e+00,-1.3114062755260344e+01
6.0000000000000009e-01,3.0011990763922747e-02,4.1012416743413938e-03,5.0129033867724049e-04,5.2479058574694815e-05,4.6949926088557525e-06,3.4773870549731356e-07,2.9953000524329809e-08,7.9609452363627042e-10,8.4697432400915318e-10,6.8061056790469365e-11,1.2317924458216112e-13,1.1601830607332886e-14,1.6098233857064770e-15,0.0000000000000000e+00,-1.3505775152972053e+01
7.0000000000000007e-01,3.7715561326087887e-02,5.8647816152018750e-03,8.3030207874262851e-04,1.0290076514724023e-04,1.1026134475622396e-05,1.0033027326716848e-06,8.7951314065026764e-08,3.9889808678417182e-09,9.7792457465217808e-10,4.3065273569453666e-11,5.6793458824699883e-13,1.3655743202889425e-14,3.2196467714129540e-15,0.0000000000000000e+00,-1.3404767618624740e+01
8.0000000000000004e-01,4.5487318027169876e-02,7.8303246335890697e-03,1.2433560246432607e-03,1.7539983986186725e-04,2.1642904585561507e-05,2.3104184508349057e-06,2.2188837900394276e-07,1.7191579493314180e-08,1.6661747537227711e-09,2.1782742276599265e-11,4.4841907964610073e-13,1.6264767310758543e-14,1.1102230246251565e-15,0.0000000000000000e+00,-1.3536414644442866e+01
9.0000000000000002e-01,5.3223762482009385e-02,9.9468090146256904e-03,1.7317880826641652e-03,2.7079169166999151e-04,3.7398622675210991e-05,4.5236562702388738e-06,4.8423983561862727e-07,4.5395631587119567e-08,3.9855594935467309e-09,2.4623691974312578e-11,1.8435253323900724e-13,1.5154544286133387e-14,0.0000000000000000e+00,0.0000000000000000e+00,-1.3703435226386580e+01
1.0000000000000000e+00,6.0852843697738690e-02,1.2169585713656783e-02,2.2848162621810220e-03,3.8849054745160316e-04,5.8810799729580587e-05,7.8654234965114256e-06,9.3052655714132015e-07,9.8037527984651263e-08,9.2788650096764513e-09,6.2373994857978232e-11,2.4868995751603507e-14,1.2989609388114332e-14,1.7763568394002505e-15,0.0000000000000000e+00,-1.3962830518994307e+01
