rho,error_N2,error_N3,error_N4,error_N5,error_N6,error_N7,error_N8,error_N9,error_N10,error_N12,error_N15,error_N20,error_N30,error_N40,convergence_rate
1.0000000000000001e-01,2.1684347811966320e-04,2.4710582314015073e-04,1.7053630620225690e-05,2.0817267963463282e-06,2.9796050137198549e-06,5.5365176947208550e-07,4.6104759736376177e-07,3.4865540191053590e-08,4.1840911971235961e-08,2.8126489054480786e-09,1.6207021835690227e-09,1.3283929511942461e-11,1.2143064331837650e-13,0.0000000000000000e+00,-8.0000984578174101e+00
2.0000000000000001e-01,3.8008479505878823e-03,1.9854235924199326e-04,1.5129638634758802e-05,1.6981747534838831e-06,2.5816199566985887e-06,6.9985362782798433e-08,3.7692865653693453e-07,2.8887670866506454e-08,3.5835884204526991e-08,5.4067836319227069e-10,5.7824095511804785e-10,3.2529534621517087e-12,2.9504176879413535e-14,0.0000000000000000e+00,-9.1539471457551080e+00
3.0000000000000004e-01,9.5869196949922575e-03,1.7449978045275261e-04,1.7951731357102041e-05,1.6923546289904223e-06,1.9378241066236868e-06,1.9794094446856647e-07,2.3345728072943217e-07,3.6062689556803917e-08,1.9761441150123460e-08,6.9571914895760756e-10,1.4371681622549204e-10,6.3310467979249552e-13,3.9968028886505635e-15,0.0000000000000000e+00,-9.3387134375235927e+00
4.0000000000000002e-01,1.6763537138466955e-02,8.6742982918164291e-04,4.9629123352101789e-05,1.0086714911095029e-06,1.4371620146724773e-06,2.2568849161741511e-07,1.2352009287619481e-07,2.2324764759051874e-08,8.4904363539806127e-09,2.9465968554021060e-10,2.8533009288622679e-11,1.3228307338408740e-13,9.9920072216264089e-16,0.0000000000000000e+00,-1.0613466510914025e+01
5.0000000000000000e-01,2.4764394068493290e-02,1.8481819399557842e-03,1.2563384644709297e-04,2.9266591356491567e-06,1.1472696281322747e-06,1.5000302766576823e-07,5.6653052804556125e-08,1.0073207268312956e-08,2.9777791343832405e-09,7.9291295751460211e-11,4.5271009163627696e-12,3.7914116290949096e-14,1.4988010832439613e-15,0.0000000000000000e+00,-1.1852619491537601e+01
6.0000000000000009e-01,3.3195076686811542e-02,3.0692240376220536e-03,2.5226942597261770e-04,1.2623217964302658e-05,1.2858148227268273e-06,4.9653569367258399e-08,2.3082762534709644e-08,3.5045478741224656e-09,8.4590467963607807e-10,1.2723821996019069e-11,5.2952087159496841e-13,1.8984813721090177e-14,2.3869795029440866e-15,0.0000000000000000e+00,-1.3053437456729485e+01
7.0000000000000007e-01,4.1782662469310838e-02,4.4778401838883042e-03,4.2886887942722440e-04,2.9790364100001909e-05,2.1689313046135972e-06,6.7142132131881027e-08,1.1376967368192936e-08,7.6226974732307440e-10,1.8763490761131152e-10,8.1490370007486490e-14,3.3029134982598407e-14,1.4266365866433262e-14,1.8318679906315083e-15,0.0000000000000000e+00,-1.4572098436137132e+01
8.0000000000000004e-01,5.0340542608004024e-02,6.0229404996541280e-03,6.5035785992428874e-04,5.5168582883791117e-05,4.0905934962642831e-06,2.3395901882494741e-07,1.4385634350411181e-08,4.3513115333126962e-10,4.8349102499400942e-11,6.8467453928633404e-13,4.8849813083506888e-15,1.3766765505351941e-14,0.0000000000000000e+00,0.0000000000000000e+00,-1.4178686392203455e+01
9.0000000000000002e-01,5.8743563208365490e-02,7.6588001699505748e-03,9.0936732690916067e-04,8.8654061461412859e-05,7.2472310946869456e-06,4.9796644241428822e-07,3.0100101855445871e-08,1.5746078885214843e-09,7.4880324163473233e-11,5.0959236830294685e-14,5.7731597280508140e-15,1.2323475573339238e-14,2.2204460492503131e-15,0.0000000000000000e+00,-1.4552936647002580e+01
1.0000000000000000e+00,6.6910300309149684e-02,9.3466343058857815e-03,1.1977298452582330e-03,1.2953091910439252e-04,1.1714668767925929e-05,9.0132639762874334e-07,6.0173199645241482e-08,3.5450993252084118e-09,1.8686219238617241e-10,3.9368508453208051e-13,7.4384942649885488e-15,1.3877787807814457e-14,2.3314683517128287e-15,0.0000000000000000e+00,-1.4165610117655280e+01
