rho,error_N2,error_N3,error_N4,error_N5,error_N6,error_N7,error_N8,error_N9,error_N10,error_N12,error_N15,error_N20,error_N30,error_N40,convergence_rate
1.0000000000000001e-01,1.0339582834945071e-04,3.0796021034942833e-04,1.2429089709414809e-04,3.6812694070270657e-05,8.6239958377726245e-06,6.1714123163192358e-07,9.3936659256721455e-07,8.5254584966665270e-07,5.2894811405912456e-07,1.2229412481301605e-07,2.4960386951766722e-09,1.7852069822410499e-09,2.6953231313520121e-11,0.0000000000000000e+00,-6.1374851506465609e+00
2.0000000000000001e-01,3.7349764126814178e-03,4.4170459413309104e-04,1.4665260521615209e-04,3.5809743461984178e-05,6.6190416345424108e-06,1.4618239002617273e-07,1.0398776534026322e-06,7.5109868488687503e-07,4.1037406089960982e-07,7.7836157713617737e-08,2.6031843070040139e-09,8.2630149944584730e-10,8.8548612886540923e-12,0.0000000000000000e+00,-7.2366894145030054e+00
3.0000000000000004e-01,9.6590058684454250e-03,2.4371351889085346e-04,1.2530550948858243e-04,2.4082049042473130e-05,3.2737748189015647e-06,5.8814746045632305e-07,7.9341421133083401e-07,4.7533198926918985e-07,2.3034712459679696e-07,3.5611793902656785e-08,1.6218679732560304e-09,2.7866914331653447e-10,2.1329604749098507e-12,0.0000000000000000e+00,-7.8488286058200254e+00
4.0000000000000002e-01,1.7008381142507467e-02,3.1409357723005682e-04,1.0673666107552382e-04,1.2414144061556609e-05,1.0609537675621006e-06,6.2540347495199100e-07,5.0137444940201448e-07,2.5554076271694370e-07,1.1035155916827577e-07,1.3759899053500391e-08,7.9439604894204763e-10,8.0806195068561237e-11,4.4597658899192538e-13,0.0000000000000000e+00,-8.5400763305787724e+00
5.0000000000000000e-01,2.5176001341886134e-02,1.1970767465237508e-03,1.2001146067791568e-04,2.8843660066502075e-06,1.0971448100027814e-07,4.7596532665172830e-07,2.7730564283734438e-07,1.2228797235946942e-07,4.7185213014611094e-08,4.6650893703592544e-09,3.3319280667853945e-10,2.1084634038714967e-11,8.3211215695655483e-14,0.0000000000000000e+00,-9.3409612193890208e+00
6.0000000000000009e-01,3.3739525305654494e-02,2.3449383542566427e-03,1.7916838612203057e-04,6.0362119251866631e-06,5.1739574402631661e-08,3.0580455290252218e-07,1.3610644761241630e-07,5.2666537964096705e-08,1.8169870497075635e-08,1.3844096979909182e-09,1.2328416065798820e-10,5.0016657482387927e-12,1.8540724511240114e-14,0.0000000000000000e+00,-1.0259110105925723e+01
7.0000000000000007e-01,4.2408414157896313e-02,3.6915805780988187e-03,2.8757486251052011e-04,1.6704208788298480e-05,6.1162157133365369e-07,1.9300378145681307e-07,5.7675124676137557e-08,2.0201933514929493e-08,6.2085576679749011e-09,3.4643471424899985e-10,4.0194736428134092e-11,1.0667022820598504e-12,9.2703622556200571e-15,0.0000000000000000e+00,-1.0989383438688487e+01
8.0000000000000004e-01,5.0986233963085659e-02,5.1750405008311740e-03,4.4197165376280712e-04,3.1059782312214956e-05,1.6947461380922846e-06,1.6277948611254089e-07,1.7187391065931479e-08,6.7108754109312940e-09,1.7832101351089591e-09,6.5728311682278218e-11,1.1088907569956064e-11,2.0150547896946591e-13,5.8841820305133297e-15,0.0000000000000000e+00,-1.2140354428768275e+01
9.0000000000000002e-01,5.9343627377174690e-02,6.7418092119064799e-03,6.3555729742903466e-04,5.0239781481109524e-05,3.3231209660700145e-06,2.1928431126472248e-07,4.7629251653802385e-09,1.9985640919983894e-09,3.4521718816904468e-10,6.5033534113467795e-12,2.1986856779676600e-12,3.4527936065842368e-14,3.6637359812630166e-15,0.0000000000000000e+00,-1.3423802751533769e+01
1.0000000000000000e+00,6.7398857937064016e-02,8.3480808896122527e-03,8.6009620532134790e-04,7.4601886200897916e-05,5.5568412025142067e-06,3.6188968688399825e-07,2.0913398457444998e-08,1.0855290000222340e-09,5.1119442012748095e-11,8.5265128291212022e-14,1.2212453270876722e-15,9.4368957093138306e-15,3.6637359812630166e-15,0.0000000000000000e+00,-1.4733275663668541e+01
