rho,error_N2,error_N3,error_N4,error_N5,error_N6,error_N7,error_N8,error_N9,error_N10,error_N12,error_N15,error_N20
1.0000000000000001e-01,2.1684346483573369e-04,2.4710583642408024e-04,1.7053617336296178e-05,2.0817400802758401e-06,2.9795917297903429e-06,5.5363848554257356e-07,4.6103431343424983e-07,3.4852256261541648e-08,4.1827628041724019e-08,2.8259328349600210e-09,1.6339861130809652e-09,0.0000000000000000e+00
2.0000000000000001e-01,3.8008479473349288e-03,1.9854236249494672e-04,1.5129635381805340e-05,1.6981780064373453e-06,2.5816167037451265e-06,6.9982109829336281e-08,3.7692540358347237e-07,2.8890923819968606e-08,3.5832631251064839e-08,5.3742540973011899e-10,5.8149390858019956e-10,0.0000000000000000e+00
3.0000000000000004e-01,9.5869196943591528e-03,1.7449977981964793e-04,1.7951730723997361e-05,1.6923552620951021e-06,1.9378234735190070e-06,1.9794157757324626e-07,2.3345664762475238e-07,3.6063322661483710e-08,1.9760808045443667e-08,6.9508604427781506e-10,1.4434992090528453e-10,0.0000000000000000e+00
4.0000000000000002e-01,1.6763537138334672e-02,8.6742982904935984e-04,4.9629123219818716e-05,1.0086716233925763e-06,1.4371618823894039e-06,2.2568862390048849e-07,1.2351996059312143e-07,2.2324897042125258e-08,8.4903040709072286e-09,2.9452740246682652e-10,2.8665292362006767e-11,0.0000000000000000e+00
5.0000000000000000e-01,2.4764394068455375e-02,1.8481819399178701e-03,1.2563384640917885e-04,2.9266590977350404e-06,1.1472695902181584e-06,1.5000306557988452e-07,5.6653014890439835e-08,1.0073245182429247e-08,2.9777412202669495e-09,7.9253381635169262e-11,4.5650150326537187e-12,0.0000000000000000e+00
6.0000000000000009e-01,3.3195076686792557e-02,3.0692240376030688e-03,2.5226942595363289e-04,1.2623217945317844e-05,1.2858148037420136e-06,4.9653588352072120e-08,2.3082743549895923e-08,3.5045668589361867e-09,8.4588569482235698e-10,1.2704837182297979e-11,5.4850568531605859e-13,0.0000000000000000e+00
7.0000000000000007e-01,4.1782662469296572e-02,4.4778401838740378e-03,4.2886887941295804e-04,2.9790364085735543e-05,2.1689312903472313e-06,6.7142117865515161e-08,1.1376953101827070e-08,7.6228401368894083e-10,1.8762064124544509e-10,9.5756735873919752e-14,4.7295500849031669e-14,0.0000000000000000e+00
8.0000000000000004e-01,5.0340542607990257e-02,6.0229404996403613e-03,6.5035785991052197e-04,5.5168582870024352e-05,4.0905934824975176e-06,2.3395900505818190e-07,1.4385620583645675e-08,4.3511738656576426e-10,4.8335335733895590e-11,6.9844130479168598e-13,8.8817841970012523e-15,0.0000000000000000e+00
9.0000000000000002e-01,5.8743563208353167e-02,7.6588001699382513e-03,9.0936732689683719e-04,8.8654061449089383e-05,7.2472310823634700e-06,4.9796643009081265e-07,3.0100089531970298e-08,1.5745955650459109e-09,7.4868000687899894e-11,6.3282712403633923e-14,6.5503158452884236e-15,0.0000000000000000e+00
1.0000000000000000e+00,6.6910300309135806e-02,9.3466343058719037e-03,1.1977298452443552e-03,1.2953091909051473e-04,1.1714668754048141e-05,9.0132638375095553e-07,6.0173185767453674e-08,3.5450854474206039e-09,1.8684831459836460e-10,3.7980729672426605e-13,6.4392935428259079e-15,0.0000000000000000e+00
