rho,error_N2,error_N3,error_N4,error_N5,error_N6,error_N7,error_N8,error_N9,error_N10,error_N12,error_N15,error_N20,error_N30,error_N40,convergence_rate
1.0000000000000001e-01,2.2784933963396203e-04,3.6976133234167818e-06,1.0423074245730080e-05,3.2415573195804237e-06,7.2469893350191050e-07,1.0645546376364390e-07,7.9929377561072101e-09,1.5629774988146217e-08,8.6890530048844283e-09,1.2077342737004670e-09,5.6175314400164211e-11,2.4563684419831588e-12,1.5723533586253780e-14,0.0000000000000000e+00,-8.4212256665694856e+00
2.0000000000000001e-01,3.0759561347986075e-03,7.9953327709048061e-06,1.6212378976032671e-05,3.1483141663957159e-06,4.9907808405413867e-07,2.2528929527476649e-08,2.8219274722518506e-08,1.7653658535010663e-08,7.4007533990005925e-09,6.5901650803112943e-10,5.4449916797594256e-11,8.6680662647609097e-13,1.0880185641326534e-14,0.0000000000000000e+00,-9.2987161505393257e+00
3.0000000000000004e-01,8.5254697305375826e-03,2.3479666519832243e-04,2.1123260000754929e-05,1.6780418628514759e-06,1.8422372149995425e-07,3.1823169266420592e-08,2.8230595028322369e-08,1.2198575816135815e-08,4.1496981961763879e-09,2.1558366203322521e-10,3.1261104815882845e-11,1.7780221739371882e-13,1.4988010832439613e-15,0.0000000000000000e+00,-1.0178128885443487e+01
4.0000000000000002e-01,1.5227679300041153e-02,7.4072179069106792e-04,4.2206265844002555e-05,4.7901997723975853e-07,4.3270745375689756e-08,4.2368909769496810e-08,1.9232502646016059e-08,6.5549949912480088e-09,1.8450192484920080e-09,3.6025626926061705e-11,1.3925305353268413e-11,6.1062266354383610e-16,8.5487172896137054e-15,0.0000000000000000e+00,-1.0657212693145471e+01
5.0000000000000000e-01,2.2602570679951139e-02,1.5086678759356209e-03,9.2931381172500771e-05,4.2087534864454490e-06,1.3437523666004481e-07,3.7753434045662004e-08,1.0282667606276163e-08,2.9454682026752721e-09,6.7833766381752980e-10,9.6745944588860766e-12,5.2254311988519930e-12,6.4392935428259079e-15,1.4988010832439613e-15,0.0000000000000000e+00,-1.1873113701967752e+01
6.0000000000000009e-01,3.0272573660632240e-02,2.4932012662848280e-03,1.7989054205913568e-04,1.0950863972736258e-05,5.2841233616485184e-07,4.4623703343571464e-08,3.6961217420028447e-09,1.1567047319971380e-09,2.0075741069547348e-10,1.1981748926359614e-11,1.7006396291208148e-12,1.1102230246251565e-15,4.4408920985006262e-16,0.0000000000000000e+00,-1.2751229775588275e+01
7.0000000000000007e-01,3.7992906103740898e-02,3.6423393995482778e-03,3.0387215435540016e-04,2.1951899831618160e-05,1.3443951702440948e-06,8.4617321371993626e-08,1.9352839331077121e-09,5.1730170147479271e-10,3.6606995212906668e-11,6.5070726584792737e-12,4.8006043584791769e-13,8.3266726846886741e-15,4.4964032497318840e-15,0.0000000000000000e+00,-1.3730803070373859e+01
8.0000000000000004e-01,4.5606784422245528e-02,4.9073205742198311e-03,4.6185283101207730e-04,3.7951552092074792e-05,2.7155987248894675e-06,1.7737329838229954e-07,9.3925606181599619e-09,5.9462079704530879e-10,2.0594637106796654e-11,2.5101032363750164e-12,1.1601830607332886e-13,1.1102230246251565e-15,1.0658141036401503e-14,0.0000000000000000e+00,-1.2897158628449951e+01
9.0000000000000002e-01,5.3016146595820546e-02,6.2463584540122241e-03,6.4875780464346278e-04,5.9151679008717650e-05,4.7510496916647327e-06,3.4102346802011851e-07,2.1725338084088719e-08,1.2771419477530799e-09,6.8491434745965307e-11,7.6172401719531990e-13,2.2648549702353193e-14,4.7739590058881731e-15,1.2212453270876722e-15,0.0000000000000000e+00,-1.4845768202108015e+01
1.0000000000000000e+00,6.0162260462313988e-02,7.6254844853114179e-03,8.5872300482181529e-04,8.5317333100354276e-05,7.5134614465621752e-06,5.9069675784062525e-07,4.1767484137977817e-08,2.6750646142659207e-09,1.5619738835681574e-10,4.0767389464235748e-13,7.5495165674510645e-15,7.7715611723760958e-16,1.8651746813702630e-14,0.0000000000000000e+00,-1.2454123453373844e+01
