rho,error_N2,error_N3,error_N4,error_N5,error_N6,error_N7,error_N8,error_N9,error_N10,error_N12,error_N15,error_N20,error_N30,error_N40,convergence_rate
1.0000000000000001e-01,7.0060842649387334e-04,9.6690965751267122e-06,2.6669875666796017e-06,2.6225104909904928e-07,1.2262238086035993e-08,4.1957051721830396e-09,2.5129189146211317e-09,1.1277170863799313e-09,4.5706088913632925e-10,3.7182867895779737e-11,5.3941850985950168e-12,6.2228000530240024e-14,1.1129985821867194e-14,0.0000000000000000e+00,-9.4539665919975224e+00
2.0000000000000001e-01,4.0473498185896462e-03,1.3107390838654198e-04,5.7671898053834880e-06,1.9069888876344088e-07,3.7215777543009310e-08,1.0065622668697927e-08,1.9538691498066640e-09,3.4511446478369123e-10,5.4227261570005680e-11,7.8486661614363129e-12,1.7922052730767746e-12,4.6490589156178430e-14,1.7319479184152442e-14,0.0000000000000000e+00,-1.0530166636277945e+01
3.0000000000000004e-01,9.1259581302503834e-03,5.8836224678818216e-04,3.3499730715369491e-05,1.8721435124102737e-06,2.9400834544723864e-08,8.2032005355170412e-09,4.2104225661532269e-10,4.7017459370302106e-10,1.8361032139146971e-10,5.6624982480713015e-12,8.7979623586420530e-13,1.7180701306074297e-14,6.6613381477509392e-15,0.0000000000000000e+00,-1.2334822644401473e+01
4.0000000000000002e-01,1.5322169949918640e-02,1.4044124705136496e-03,1.1391682617967192e-04,8.4429370703631434e-06,5.0333168527538774e-07,3.0060284206268051e-08,3.2179891529260374e-09,6.1095062342531037e-10,1.8061879769604161e-10,7.8185791174689712e-12,1.1153300505384323e-12,2.4591439995447217e-14,1.3045120539345589e-14,0.0000000000000000e+00,-1.1901865178556852e+01
5.0000000000000000e-01,2.2216020627681521e-02,2.5614486191753993e-03,2.6687084450333076e-04,2.5162022349090041e-05,2.0938847679063954e-06,1.5591329621811312e-07,1.2691523276764372e-08,1.6922768741878258e-10,1.2985951203248192e-10,1.2578715846700561e-11,5.7248650264796197e-13,1.1934897514720433e-14,0.0000000000000000e+00,0.0000000000000000e+00,-1.3388088214506034e+01
6.0000000000000009e-01,2.9516716533147747e-02,4.0154862974791095e-03,5.0219424336550578e-04,5.7100337887139307e-05,5.8552839100611820e-06,5.4139906291439388e-07,4.7515112344687083e-08,3.3270230459514494e-09,2.8047758560134639e-10,9.1115448519474285e-12,1.4038770146385104e-13,2.0539125955565396e-15,1.2601031329495527e-14,0.0000000000000000e+00,-1.2423533979856423e+01
7.0000000000000007e-01,3.7021244148921661e-02,5.7139429775713291e-03,8.2138354916172496e-04,1.0809717417503695e-04,1.2952839596347410e-05,1.4122920108383674e-06,1.4222254723916805e-07,1.2923116188279238e-08,1.1006253131107258e-09,6.8989258750207227e-13,4.4408920985006262e-15,9.3813845580825728e-15,5.9952043329758453e-15,0.0000000000000000e+00,-1.2647905564138835e+01
8.0000000000000004e-01,4.4587344224848446e-02,7.6045181722223520e-03,1.2200657183493724e-03,1.8039904319089306e-04,2.4440301499228934e-05,3.0320000197203711e-06,3.4626496814293972e-07,3.6381773482752067e-08,3.5364504102908256e-09,2.4779844842726106e-11,3.6914915568786455e-14,7.9380946260698693e-15,9.4368957093138306e-15,0.0000000000000000e+00,-1.3250089211858720e+01
9.0000000000000002e-01,5.2115444737823091e-02,9.6393600940119506e-03,1.6902450916622125e-03,2.7472345503498641e-04,4.1115663632129706e-05,5.6608129471169555e-06,7.1870500872872611e-07,8.4361980345892817e-08,9.1854280848124858e-09,8.7823415206855771e-11,2.0761170560490427e-14,1.1490808304870370e-14,6.6613381477509392e-16,0.0000000000000000e+00,-1.3848120336048593e+01
1.0000000000000000e+00,5.9536332715915852e-02,1.1776709594211066e-02,2.2220463237263566e-03,3.9052768818681471e-04,6.3459898061779541e-05,9.5212863630012023e-06,1.3207184951236073e-06,1.6981286854456101e-07,2.0302766912116965e-08,2.3649870950492868e-10,1.8052226380405045e-13,1.4432899320127035e-15,1.7763568394002505e-15,0.0000000000000000e+00,-1.2328454062724687e+01
