rho,error_N2,error_N3,error_N4,error_N5,error_N6,error_N7,error_N8,error_N9,error_N10,error_N12,error_N15,error_N20,error_N30,error_N40,convergence_rate
1.0000000000000001e-01,8.0385115348161201e-03,2.6395402992571565e-03,5.2641434055862579e-04,1.1336119419107227e-04,2.1598602789243970e-04,1.6655394205036811e-04,9.7369257158266831e-05,4.5364512884671360e-05,1.4280019237963848e-05,7.4020557043197321e-06,5.2887335621060183e-06,1.6136494146445912e-07,1.6765150684383556e-08,0.0000000000000000e+00,-4.6371480028556267e+00
2.0000000000000001e-01,1.5767454519798774e-02,3.4895353708556398e-03,5.7737518257924836e-04,1.8346155796386543e-04,2.6248053677979666e-04,1.8360675232687029e-04,9.9608047209959194e-05,4.3157782876390716e-05,1.2185572119516319e-05,6.9349633642634689e-06,4.1612641586696864e-06,1.2559681172863435e-07,7.5353334405559025e-09,0.0000000000000000e+00,-5.0821981324078642e+00
3.0000000000000004e-01,2.3424680406597287e-02,3.0196075845820292e-03,4.3794735685284691e-04,2.0698412502637153e-04,2.3217299384062362e-04,1.4730528737050275e-04,7.4017147936755734e-05,2.9694829968618386e-05,7.3818658916369184e-06,4.7405300331315736e-06,2.3854772667197821e-06,7.1171011389870031e-08,2.4083627592208501e-09,0.0000000000000000e+00,-5.5179781898891322e+00
4.0000000000000002e-01,3.1142397423413737e-02,1.5949257643773640e-03,2.9058054402164579e-04,1.9551990547445053e-04,1.7624162835622181e-04,1.0145536237399222e-04,4.7119354498581512e-05,1.7415967031420010e-05,3.7065405020242359e-06,2.7892551067165705e-06,1.1757820400082331e-06,3.4563541417842458e-08,6.3687016771396543e-10,0.0000000000000000e+00,-5.9234332039526354e+00
5.0000000000000000e-01,3.8976568501389364e-02,5.0531193166880595e-04,2.3944037268885943e-04,1.6658357816778935e-04,1.1992535772742396e-04,6.2776332754976849e-05,2.6883661414123239e-05,9.0984575183972183e-06,1.5838734540585264e-06,1.4785586511245619e-06,5.2169429848314408e-07,1.5047918078270328e-08,1.4202483633596330e-10,0.0000000000000000e+00,-6.3281094668575166e+00
6.0000000000000009e-01,4.6931962003240069e-02,3.0697984753484397e-03,3.3393209685628200e-04,1.3765610018606766e-04,7.3308625526014026e-05,3.5286255183730741e-05,1.3882643918550208e-05,4.2687633945992509e-06,5.5867736131753887e-07,7.1371923410223914e-07,2.1066295752270037e-07,5.9376519812026629e-09,2.5366542200089270e-11,0.0000000000000000e+00,-7.2593629773752042e+00
7.0000000000000007e-01,5.4981745741993771e-02,5.9394960897593552e-03,5.8782456962552798e-04,1.2300080524446644e-04,3.8313060723049741e-05,1.7887739834354655e-05,6.4012023953119446e-06,1.7711126598096705e-06,1.4305524725921615e-07,3.1008407697097340e-07,7.6528799297648220e-08,2.0999283423250859e-09,2.8834712395564566e-12,0.0000000000000000e+00,-8.1812476684569564e+00
8.0000000000000004e-01,6.3081909645620438e-02,8.9950319988020278e-03,9.9341653482221126e-04,1.3247758401424559e-04,1.2988889998233333e-05,8.0283157808391792e-06,2.4976353674155405e-06,6.1721344218890195e-07,1.2028530393948245e-08,1.1573420477528629e-07,2.3873063859092269e-08,6.3579791431678245e-10,1.2018164241567320e-13,0.0000000000000000e+00,-9.3409721062718614e+00
9.0000000000000002e-01,7.1181332683646792e-02,1.2146942163324681e-02,1.5313846690115929e-03,1.7157943103374151e-04,6.0008580045067816e-06,3.2513322394400745e-06,6.5968229812085610e-07,1.5360122873619986e-07,9.3046885751846276e-09,3.1425235524906725e-08,5.4151528816603900e-09,1.3965895107048709e-10,1.3322676295501878e-13,0.0000000000000000e+00,-9.8749255322203808e+00
1.0000000000000000e+00,7.9228427161400661e-02,1.5328306326233276e-02,2.1772762528220468e-03,2.4209450602707960e-04,2.2050860946531969e-05,1.6996265258528709e-06,1.1351901907374895e-07,6.6887017036165730e-09,3.5256420005680411e-10,7.3763217756095401e-13,7.6605388699135801e-15,1.2656542480726785e-14,2.1094237467877974e-15,0.0000000000000000e+00,-1.4199226576308684e+01
