rho,error_N2,error_N3,error_N4,error_N5,error_N6,error_N7,error_N8,error_N9,error_N10,error_N12,error_N15,error_N20,error_N30,error_N40,convergence_rate
1.0000000000000001e-01,6.7473503637766052e-04,1.1721892254082378e-05,2.7849376323108022e-06,3.1526357163746965e-07,3.1534074670935830e-08,4.0355774277855971e-10,3.1398302846596948e-09,2.0980203963016919e-09,9.7307398250201516e-10,6.5245600588959007e-11,1.4941922699129861e-11,2.9090618802740664e-13,4.9960036108132044e-16,0.0000000000000000e+00,-9.0323901344519921e+00
2.0000000000000001e-01,4.0229422701084649e-03,1.2607399235703420e-04,5.3538881797376980e-06,1.2842083865760578e-07,2.2615503442180440e-08,8.0970051496986883e-09,2.9061146544773209e-09,1.1334302107979255e-09,3.7780989448066293e-10,1.1878470429493859e-11,6.8559047328164979e-12,1.7877366254026583e-13,1.2490009027033011e-15,0.0000000000000000e+00,-1.0410297551807215e+01
3.0000000000000004e-01,9.1204600756150667e-03,5.8315074783044096e-04,3.2239313497051114e-05,1.6993435266454693e-06,2.8285894515533982e-08,6.7397628311649527e-09,8.5190993148742677e-11,1.4881518239917568e-10,7.1634864706737744e-11,9.6975205643445861e-12,3.3370528562670643e-13,9.4091401336982017e-15,2.7755575615628914e-15,0.0000000000000000e+00,-1.2739185292282853e+01
4.0000000000000002e-01,1.5346955837374610e-02,1.4029984235549575e-03,1.1206757136567047e-04,8.0376243152824323e-06,4.5992980024500696e-07,2.4841260548580379e-08,2.9526901479393075e-09,6.0388960498869437e-10,1.5604584291395440e-10,1.3012424471270378e-11,1.0605960554244120e-12,3.5749181392930041e-14,4.9960036108132044e-15,0.0000000000000000e+00,-1.2598288701850981e+01
5.0000000000000000e-01,2.2278570442571755e-02,2.5679430297715911e-03,2.6515364279661169e-04,2.4468285128143030e-05,1.9683423322924831e-06,1.3803604953510629e-07,1.1267889676869203e-08,4.7195747310269098e-11,1.0897960311950783e-10,2.1781410008969715e-11,5.4251048098308274e-13,3.2918112680135891e-14,1.5543122344752192e-15,0.0000000000000000e+00,-1.3197742994677139e+01
6.0000000000000009e-01,2.9621906103929951e-02,4.0335456742911502e-03,5.0159473704908253e-04,5.6157630166142614e-05,5.6066071051907862e-06,4.9670752361175019e-07,4.1975865783250299e-08,2.6197771174629736e-09,2.0309898207671040e-10,1.7257084650168508e-11,1.9428902930940239e-14,1.7763568394002505e-14,2.0539125955565396e-15,0.0000000000000000e+00,-1.3891043240239188e+01
7.0000000000000007e-01,3.7172144736976886e-02,5.7465375105496541e-03,8.2296829899158874e-04,1.0702974076642890e-04,1.2548941617784859e-05,1.3225343671874334e-06,1.2774777707891261e-07,1.0910709669076368e-08,8.5337281685582411e-10,6.0534910417686660e-12,1.4366285938649526e-13,1.1546319456101628e-14,2.5535129566378600e-15,0.0000000000000000e+00,-1.3817239408557159e+01
8.0000000000000004e-01,4.4785740247114847e-02,7.6538718128976169e-03,1.2248432664339060e-03,1.7938595725069950e-04,2.3862183412104443e-05,2.8766786487888218e-06,3.1612743434106250e-07,3.1579839132600540e-08,2.8748790015242776e-09,1.4618861676751749e-11,1.0652589921278377e-13,9.4368957093138306e-15,4.3853809472693683e-15,0.0000000000000000e+00,-1.3143080285332553e+01
9.0000000000000002e-01,5.2362183659345862e-02,9.7069798583714340e-03,1.6990747150418262e-03,2.7396386830202957e-04,4.0356253091344829e-05,5.4187577165909495e-06,6.6446884960935648e-07,7.4558024310000803e-08,7.6737524112857614e-09,6.3001326378042677e-11,1.2656542480726785e-14,9.9364960703951510e-15,6.7723604502134549e-15,0.0000000000000000e+00,-1.3291491185326921e+01
1.0000000000000000e+00,5.9831571071008560e-02,1.1863458309649189e-02,2.2355871555697071e-03,3.9020961412949973e-04,6.2519536351168803e-05,9.1715174935780297e-06,1.2325644705990513e-06,1.5207302528352784e-07,1.7276708508262573e-08,1.7648804639947002e-10,1.1379786002407855e-13,1.3211653993039363e-14,1.1102230246251565e-15,0.0000000000000000e+00,-1.3521522419969395e+01
